Course Code,Institution,INSTITUTION,EOS,Mid,
CR130,Cork Institute of Technology,Musical Theatre,#500,600,500
DK860,Dundalk Institute of Technology,Music,#499,649,499
CM004,Marino Institute of Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),#492,569,492
CM003,Marino Institute of Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,#491,506,491
TR025,Trinity College Dublin,Drama and Theatre Studies,#489,531,489
GY261,"National University of Ireland, Galway","Business Studies (International Hotel Management, Shannon)",#486,615,486
DT506,Technological University Dublin City Campus,Commercial Modern Music,#468,835,468
MI006,Mary Immaculate College,Education - Primary Teaching (Gaeltacht Applicants),#442,473,442
MH002,Maynooth University,Education - Primary Teaching - Gaeltacht Applicants (Froebel),#441*,,41*
DC003,Dublin City University,Education - Primary Teaching - Gaeltacht Applicants,#433,473,433
TR009,Trinity College Dublin,Music Education,#430,465,430
DC014,Dublin City University,BA in Jazz and Contemporary Music Performance,#428,590,428
CM002,Marino Institute of Education,Education - Primary Teaching - Gaeltacht Applicants,#421,440,421
LM099,University of Limerick,Architecture (portfolio required),#419,473,419
TR002,Trinity College Dublin,Music,#414,473,414
LM076,University of Limerick,Product Design and Technology (portfolio required),#402,466,402
DT501,Technological University Dublin City Campus,Music,#383,520,383
TR093,Trinity College Dublin,General Nursing (Adelaide School of Nursing),#378*,409,78*
DT529,Technological University Dublin City Campus,Drama (Performance),#371,519,371
DC012,Dublin City University,Post Primary Teacher Education - Religious Education and Music,#367,415,367
DC004,Dublin City University,Education - Primary Teaching (Church of Ireland Centre formerly CICE),#357,,357
SG244,"Institute of Technology, Sligo",Fine Art,#355,496,355
CK104,University College Cork (NUI),Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),#340,409,340
CK112,University College Cork (NUI),Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),#324,470,324
DC005,Dublin City University,Education - Primary Teaching - Irish Sign Language,#316,316,316
LM103,University of Limerick,Paramedic Studies (B and C1 Drivers Licence),#313,403,313
LY408,Letterkenny Institute of Technology,Design (Common Entry),#307,368,307
LM026,University of Limerick,Performing Arts (audition required),#307,367,307
WD027,Waterford Institute of Technology,Music,#290,317,290
GC489,Griffith College,Interior Architecture (Dublin),#267,361,267
AD101,National College of Art and Design,First Year Art & Design (Common Entry),# +mat,550,mat
AD102,National College of Art and Design,Graphic Design and Moving Image Design,# +mat,635,mat
AD103,National College of Art and Design,Textile & Surface Design and Jewellery & Objects,# +mat,545,mat
AD202,National College of Art and Design,Education & Design or Fine Art (Second Level Teaching),# +mat,580,mat
AD204,National College of Art and Design,Fine Art,# +mat,600,mat
AD211,National College of Art and Design,Fashion Design,# +mat,600,mat
AD212,National College of Art and Design,Product Design,# +mat,600,mat
AD217,National College of Art and Design,Illustration,# +mat,625,mat
AD222,National College of Art and Design,Interaction Design,# +mat,657,mat
CK114,University College Cork (NUI),Social Science (Youth and Community Work) - 3 years,#,,#
CK115,University College Cork (NUI),Social Work - Mature Applicants only,#,,#
DT533,Technological University Dublin City Campus,Contemporary Visual Culture,#,,#
GC494,Griffith College,Fashion Design (Dublin),#,,#
DN301,University College Dublin (NUI),Veterinary Medicine - Graduate Entry,#,,#
DN411,University College Dublin (NUI),Radiography - Graduate Entry,#,,#
MH103,Maynooth University,Music,#,367,#
MH116,Maynooth University,Community and Youth Work (Full-Time),#,271,#
MH802,Maynooth University,"Community and Youth Work (part-time, in service",#,,#
MH803,Maynooth University,"Local Studies or Community Studies (part-time, evening)- Mature Students",#,,#
TL889,"Institute of Technology, Tralee",Counselling with Addiction - Mature applicants only,#,,#
DN670,University College Dublin (NUI),Economics and Finance,601,601,
CK702,University College Cork (NUI),Dentistry,590,613,
DC116,Dublin City University,Global Business (USA),578,589,
CK703,University College Cork (NUI),Pharmacy,577,589,
DN230,University College Dublin (NUI),Actuarial and Financial Studies,577,589,
TR017,Trinity College Dublin,Law and Business,576,589,
TR020,Trinity College Dublin,Law and Political Science,567,600,
DC119,Dublin City University,Global Business (Canada),566,577,
TR015,Trinity College Dublin,"Philosophy, Political Science, Economics and Sociology",566,577,
TR031,Trinity College Dublin,Mathematics,566,589,
TR080,Trinity College Dublin,Global Business,565,577,
RC005,Royal College of Surgeons in Ireland,Pharmacy,555,566,
TR035,Trinity College Dublin,Theoretical Physics,554,601,
DT223,Technological University Dublin City Campus,Human Nutrition and Dietetics,553,566,
CR320,Cork Institute of Technology,Biomedical Science (Offered jointly by CIT and UCC),546,556,
TR056,Trinity College Dublin,Human Health and Disease,543,565,
MI008,Mary Immaculate College,Education and Psychology - Primary Teaching,543,555,
DN420,University College Dublin (NUI),Physiotherapy,542,555,
GY303,"National University of Ireland, Galway",Biomedical Science,533,566,
TR004,Trinity College Dublin,Law,532,552,
GY413,"National University of Ireland, Galway",Energy Systems Engineering,532,589,
GY502,"National University of Ireland, Galway",Occupational Therapy,532,543,
CK204,University College Cork (NUI),Finance,531,555,
CK407,University College Cork (NUI),Mathematical Sciences,531,578,
GY503,"National University of Ireland, Galway",Speech and Language Therapy,529,543,
TR019,Trinity College Dublin,Law and German,523,555,
CK307,University College Cork (NUI),Law and Business,522,554,
DN200,University College Dublin (NUI),Science (options),521,554,
DN610,University College Dublin (NUI),Business and Law,521,543,
DC126,Dublin City University,Actuarial Mathematics,520,543,
TR024,Trinity College Dublin,European Studies,520,544,
MH603,Maynooth University,Computational Thinking,520,543,
GY408,"National University of Ireland, Galway",Biomedical Engineering,519,543,
DN720,University College Dublin (NUI),Psychology,517,531,
CK408,University College Cork (NUI),Physics and Astrophysics,511,566,
DN150,University College Dublin (NUI),Engineering (Common Entry),511,554,
LM056,University of Limerick,International Business,511,543,
TR055,Trinity College Dublin,Radiation Therapy,510,521,
TR082,Trinity College Dublin,Computer Science and Business,510,542,
TR090,Trinity College Dublin,Business Studies and Spanish,510,543,
GY252,"National University of Ireland, Galway",Law & Human Rights,510,521,
GY318,"National University of Ireland, Galway",Biopharmaceutical Chemistry,510,532,
CK209,University College Cork (NUI),Commerce (International) with Irish,509,528,
CK411,University College Cork (NUI),Data Science and Analytics,509,542,
CK705,University College Cork (NUI),Speech and Language Therapy,509,529,
DC127,Dublin City University,Common Entry into Actuarial and Financial Mathematics,509,531,
DC208,Dublin City University,Psychology,509,521,
TR085,Trinity College Dublin,Business Studies and French,509,553,
GY209,"National University of Ireland, Galway",Commerce (Global Experience),509,531,
GY402,"National University of Ireland, Galway",Civil Engineering,509,543,
GY406,"National University of Ireland, Galway",Electronic and Computer Engineering,509,547,
DN410,University College Dublin (NUI),Radiography,507,522,
DN660,University College Dublin (NUI),Commerce International (options),507,531,
GY104,"National University of Ireland, Galway",Arts (Psychology),507,529,
CK120,University College Cork (NUI),Applied Psychology,506,532,
DC114,Dublin City University,Global Business (Spain),501,543,
DT204,Technological University Dublin City Campus,Biomedical Science,501,512,
TR054,Trinity College Dublin,Occupational Therapy,500,520,
CK116,University College Cork (NUI),Sports Studies and Physical Education,499,520,
CK712,University College Cork (NUI),Children`s and General Nursing (Integrated),499,520,
TR007,Trinity College Dublin,Clinical Speech and Language Studies,499,529,
TR038,Trinity College Dublin,Engineering with Management,499,543,
CK402,University College Cork (NUI),Biological and Chemical Sciences,498,520,
MH206,Maynooth University,Theoretical Physics and Mathematics,498,566,
DC112,Dublin City University,Global Business (France),495,510,
LM102,University of Limerick,Psychology,495,519,
MH106,Maynooth University,Psychology - 3 years,495,499,
DN262,University College Dublin (NUI),Human Nutrition,493,510,
CK504,University College Cork (NUI),Nutritional Sciences,492,509,
DT229,Technological University Dublin City Campus,Clinical Measurement Science,491,509,
DC205,Dublin City University,Physical Education with Biology,490,521,
DC168,Dublin City University,Genetics and Cell Biology,489,500,
GY203,"National University of Ireland, Galway",Commerce (International) with German,489,541,
DC162,Dublin City University,Chemical and Pharmaceutical Sciences,488,498,
DN201,University College Dublin (NUI),Computer Science (Common Entry),488,509,
DN425,University College Dublin (NUI),Health and Performance Science,488,509,
DC115,Dublin City University,Accounting and Finance,487,500,
DT224,Technological University Dublin City Campus,Optometry,487,529,
TR003,Trinity College Dublin,History,486,518,
GY207,"National University of Ireland, Galway",Commerce (Accounting) including optional Global Experience year,486,510,
TR040,Trinity College Dublin,Middle Eastern and European Languages and Cultures,485,518,
DC204,Dublin City University,Athletic Therapy and Training,484,500,
GY202,"National University of Ireland, Galway",Commerce (International) with French,484,513,
GY204,"National University of Ireland, Galway",Commerce (International) with Spanish,484,500,
LM038,University of Limerick,Psychology and Sociology,478,489,
LM092,University of Limerick,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),478,509,
TR029,Trinity College Dublin,Political Science and Geography,477,500,
CK301,University College Cork (NUI),Law (Pathways) -  3 or 4 years,476,519,
CK405,University College Cork (NUI),Genetics,476,496,
DC181,Dublin City University,Biotechnology,476,488,
DN710,University College Dublin (NUI),Economics,476,488,
MH402,Maynooth University,Quantitative Finance,476,487,
TR086,Trinity College Dublin,Business Studies and German,474,495,
DT206,Technological University Dublin City Campus,Biomedical and Molecular Diagnostics,473,487,
DN100,University College Dublin (NUI),Architecture,473,509,
GY208,"National University of Ireland, Galway",Commerce (Gaeilge),473,488,
GY251,"National University of Ireland, Galway",Law,473,498,
GY304,"National University of Ireland, Galway",Biotechnology,473,507,
LM029,University of Limerick,Law Plus,473,499,
MH209,Maynooth University,Psychology (through Science) - 4 years,473,485,
LM077,University of Limerick,Aeronautical Engineering,469,531,
CK202,University College Cork (NUI),Accounting,467,506,
DC123,Dublin City University,Data Science,467,511,
DC202,Dublin City University,Sport Science and Health,467,476,
DC218,Dublin City University,Children`s and General Nursing (Integrated),467,480,
TR087,Trinity College Dublin,Business Studies and Russian,467,487,
CK600,University College Cork (NUI),Engineering,465,532,
CK606,University College Cork (NUI),Architecture (offered jointly by UCC and CIT),465,496,
DT201,Technological University Dublin City Campus,Science (General Entry),464,477,
DC111,Dublin City University,Business Studies,463,479,
DC117,Dublin City University,Aviation Management / Aviation Management with Pilot Studies,463,487,
TR023,Trinity College Dublin,English Studies,463,511,
CK304,University College Cork (NUI),Law and Irish,462,510,
DT321,Technological University Dublin City Campus,Business and Law,462,478,
CK406,University College Cork (NUI),Chemical Sciences,457,488,
CK412,University College Cork (NUI),Agricultural Science,457,509,
CK110,University College Cork (NUI),World Languages,456,506,
GY319,"National University of Ireland, Galway",Mathematical Science,456,531,
LM115,University of Limerick,Chemical and Biochemical Engineering,456,520,
CW188,"Institute of Technology, Carlow",Sport Rehabilitation and Athletic Therapy,454,473,
DC201,Dublin City University,Common Entry into Science (Undenominated Entry),454,477,
GY309,"National University of Ireland, Galway",Financial Mathematics and Economics,454,498,
GY414,"National University of Ireland, Galway",Electrical and Electronic Engineering,454,487,
CK302,University College Cork (NUI),Law and French,453,531,
DC232,Dublin City University,Law and Society (BCL),453,487,
DC240,Dublin City University,"Marketing, Innovation and Technology",451,474,
DT228,Technological University Dublin City Campus,Computer Science,451,466,
TR083,Trinity College Dublin,Sociology and Social Policy,451,474,
GA785,Galway-Mayo Institute of Technology,Medical Science,451,486,
MH208,Maynooth University,Biological and Biomedical Sciences,451,476,
MH501,Maynooth University,LLB Law - four year Single Major Law programme,451,476,
DC161,Dublin City University,Analytical Science,446,463,
MH210,Maynooth University,Pharmaceutical and Biomedical Chemistry,446,466,
CK505,University College Cork (NUI),Food Science,444,477,
CK740,University College Cork (NUI),Midwifery,444,474,
GY401,"National University of Ireland, Galway",Engineering (Undenominated),444,499,
MH212,Maynooth University,Science/Computer Science/Mathematics (with Education) - options,444,476,
DC206,Dublin City University,Physical Education with Mathematics,443,476,
DT504,Technological University Dublin City Campus,Film and Broadcasting,443,467,
GY405,"National University of Ireland, Galway",Mechanical Engineering,443,499,
GY515,"National University of Ireland, Galway",General Nursing (Galway and Portiuncula),442,466,
DN310,University College Dublin (NUI),Veterinary Nursing,441,487,
LM089,University of Limerick,Sport and Exercise Sciences,441,466,
CK710,University College Cork (NUI),General Nursing,440,466,
DC110,Dublin City University,Business Studies International,440,462,
DC113,Dublin City University,Global Business (Germany),440,476,
DT225,Technological University Dublin City Campus,Public Health Nutrition,440,476,
DT365,Technological University Dublin City Campus,Business and Management,440,456,
DT399,Technological University Dublin City Campus,Economics and Finance,437,465,
DN430,University College Dublin (NUI),Sport and Exercise Management,436,455,
GY250,"National University of Ireland, Galway",Law & Business,436,467,
LM020,University of Limerick,Law and Accounting,436,476,
TR039,Trinity College Dublin,Computer Science and Language,435,498,
TR062,Trinity College Dublin,Geography and Geoscience,435,485,
CR520,Cork Institute of Technology,Biomedical Engineering,434,477,
DC167,Dublin City University,Physics with Astronomy,434,477,
DN261,University College Dublin (NUI),Food Science,434,467,
GY124,"National University of Ireland, Galway",Arts (Arts with Data Science),434,466,
GY410,"National University of Ireland, Galway",Project and Construction Management,434,464,
GY504,"National University of Ireland, Galway",Podiatric Medicine,434,463,
LM058,University of Limerick,Financial Mathematics,434,543,
LM116,University of Limerick,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),434,498,
MH207,Maynooth University,Data Science,434,466,
CK502,University College Cork (NUI),Food Marketing and Entrepreneurship,433,456,
DT001,Technological University Dublin City Campus,Product Design,433,464,
MI013,Mary Immaculate College,"Education, Mathematics and Gaeilge (Thurles Campus)",433,465,
CR105,Cork Institute of Technology,Chemical and Biopharmaceutical Engineering,432,498,
DT366,Technological University Dublin City Campus,Accounting and Finance,432,454,
CK208,University College Cork (NUI),Commerce (International) with Hispanic Studies,431,455,
GY206,"National University of Ireland, Galway",Business Information Systems (Work Placement & Optional Int`l Study),431,445,
CK108,University College Cork (NUI),Arts International - 4 years,429,466,
GY517,"National University of Ireland, Galway",Midwifery,429,468,
LM156,University of Limerick,Midwifery,429,444,
MH202,Maynooth University,Biotechnology,429,446,
LM124,University of Limerick,Mathematics (Math Science/Maths and Physics/Economics and Math Scienc,427,521,
CR108,Cork Institute of Technology,Mechanical Engineering,425,487,
GY350,"National University of Ireland, Galway",Computer Science and Information Technology,425,466,
DC203,Dublin City University,Science Education,424,476,
AL841,Athlone Institute of Technology,Athletic and Rehabilitation Therapy,423,430,
TR913,Trinity College Dublin,Midwifery,423,462,
DT532,Technological University Dublin City Campus,Law (LL.B.),422,441,
AS003,St. Angela`s College,"Education, Home Economics and Irish - with concurrent Teacher Ed",421,457,
DT299,Technological University Dublin City Campus,Chemical Sciences with Medicinal Chemistry,420,445,
DN250,University College Dublin (NUI),Agricultural Science (options),420,462,
GY201,"National University of Ireland, Galway",Commerce,420,453,
MH204,Maynooth University,Physics with Astrophysics,420,488,
CK706,University College Cork (NUI),Public Health Sciences,419,451,
DC209,Dublin City University,Health and Society,419,440,
LM050,University of Limerick,Business Studies,419,455,
GY126,"National University of Ireland, Galway",Arts (English and Media Studies),418,451,
DC215,Dublin City University,General Nursing,414,443,
CK409,University College Cork (NUI),Industrial Physics (offered jointly by UCC and CIT),413,532,
GY308,"National University of Ireland, Galway",Environmental Science,413,440,
WD116,Waterford Institute of Technology,General Nursing,413,430,
CK404,University College Cork (NUI),"Biological, Earth and Environmental Sciences",412,451,
DC166,Dublin City University,Environmental Science and Technology,412,442,
LM123,University of Limerick,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),412,455,
GY109,"National University of Ireland, Galway",Arts (Mathematics and Education),411,487,
AL830,Athlone Institute of Technology,General Nursing,410,429,
DC013,Dublin City University,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410,509,
GY118,"National University of Ireland, Galway","Arts (Drama, Theatre and Performance Studies)",410,451,
GY119,"National University of Ireland, Galway",Journalism,410,475,
MH502,Maynooth University,Law (options),410,442,
AL870,Athlone Institute of Technology,Applied Psychology,409,445,
CK203,University College Cork (NUI),Business Information Systems,409,444,
CK205,University College Cork (NUI),Commerce (International) with French,409,473,
DN452,University College Dublin (NUI),Midwifery,409,452,
GY310,"National University of Ireland, Galway",Marine Science,409,456,
CR370,Cork Institute of Technology,Agri-Biosciences,408,431,
CK113,University College Cork (NUI),Criminology - 3 years or 4 years (International Pathway),408,430,
CK206,University College Cork (NUI),Commerce (International) with German,408,446,
CK207,University College Cork (NUI),Commerce (International) with Italian,408,425,
GY129,"National University of Ireland, Galway",Arts (International),408,477,
TL890,"Institute of Technology, Tralee",General Nursing and Mature Applicants,407,431,
LM094,University of Limerick,Materials and Architectural Technology with concurrent Teacher Education,405,433,
LM125,University of Limerick,Physics (Applied Physics/Mathematics and Physics),405,509,
DC193,Dublin City University,Mechatronic Engineering,404,445,
LM044,University of Limerick,Applied Languages,404,473,
DC133,Dublin City University,Multimedia,403,451,
DT508,Technological University Dublin City Campus,Game Design,403,454,
DN253,University College Dublin (NUI),Agri - Environmental Sciences,403,419,
CK401,University College Cork (NUI),Computer Science,402,456,
DB524,Dublin Business School,Business Information Systems,402,402,
DC171,Dublin City University,Applied Physics,402,433,
DC173,Dublin City University,Physics with Biomedical Sciences,402,458,
DC197,Dublin City University,Biomedical Engineering,402,446,
GY111,"National University of Ireland, Galway",Arts with Creative Writing,402,472,
GY132,"National University of Ireland, Galway","Government (Politics, Economics and Law)",402,444,
GY313,"National University of Ireland, Galway",Environmental Health and Safety,402,435,
GY314,"National University of Ireland, Galway",Earth and Ocean Sciences,402,425,
MH403,Maynooth University,Accounting and Finance,402,432,
DC132,Dublin City University,Journalism,401,440,
DC195,Dublin City University,Mechanical and Manufacturing Engineering,401,444,
GY133,"National University of Ireland, Galway",Education (Computer Science and Mathematical  Studies),401,466,
GY320,"National University of Ireland, Galway","Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",401,487,
LM118,University of Limerick,Electronic and Computer Engineering,401,498,
MH407,Maynooth University,Business and Accounting,401,420,
CK212,University College Cork (NUI),Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),400,429,
DC131,Dublin City University,Communication Studies,400,441,
DC230,Dublin City University,"Economics, Politics and Law",400,431,
DT066,Technological University Dublin City Campus,Engineering (General Entry),400,457,
DT341,Technological University Dublin City Campus,Marketing,400,419,
GY130,"National University of Ireland, Galway",Arts (Music),400,444,
GY301,"National University of Ireland, Galway",Science,400,456,
LM068,University of Limerick,Food Science and Health,400,430,
MH404,Maynooth University,Business (options),400,429,
CW178,"Institute of Technology, Carlow",Sport Science (options),399,424,
CK111,University College Cork (NUI),Early Years and Childhood Studies,398,429,
CK211,University College Cork (NUI),Commerce (International) with Chinese Studies,398,420,
CK720,University College Cork (NUI),Mental Health Nursing,398,429,
DC001,Dublin City University,Education - Early Childhood Education,398,424,
DN252,University College Dublin (NUI),Dairy Business,398,428,
DN450,University College Dublin (NUI),General Nursing,398,420,
MI012,Mary Immaculate College,"Education, Irish and Business Studies (Thurles Campus)",398,440,
CK105,University College Cork (NUI),Film and Screen Media - 3 years or 4 years (International Pathway),397,442,
DT422,Technological University Dublin City Campus,Pharmaceutical Healthcare,397,423,
DT571,Technological University Dublin City Campus,Social Care,394,424,
CK121,University College Cork (NUI),Psychology and Computing - 3 or 4 years (Work Experience Pathway),393,466,
TR089,Trinity College Dublin,Business Studies and Polish,393,434,
DT420,Technological University Dublin City Campus,Nutraceuticals in Health and Nutrition,392,432,
DK870,Dundalk Institute of Technology,General Nursing,392,401,
MI009,Mary Immaculate College,"Education, Business Studies and Accounting (Thurles Campus)",392,420,
CK102,University College Cork (NUI),Social Science,391,431,
DC190,Dublin City University,Electronic and Computer Engineering (with choice of four majors),391,433,
DT111,Technological University Dublin City Campus,Quantity Surveying and Construction Economics,391,421,
TR005,Trinity College Dublin,Philosophy,391,446,
WD163,Waterford Institute of Technology,Psychology,390,429,
CR325,Cork Institute of Technology,Pharmaceutical Biotechnology,388,422,
DT175,Technological University Dublin City Campus,Architectural Technology,388,425,
DN700,University College Dublin (NUI),Social Sciences (options),388,441,
GY516,"National University of Ireland, Galway",Mental Health Nursing,388,413,
LM039,University of Limerick,Journalism and New Media,388,430,
LM152,University of Limerick,Mental Health Nursing,388,418,
AL832,Athlone Institute of Technology,Psychiatric Nursing,387,403,
DC231,Dublin City University,International Relations,387,445,
GY127,"National University of Ireland, Galway",Arts (Film and Digital Media),387,435,
LM028,University of Limerick,Criminal Justice,387,409,
AS054,St. Angela`s College,Home Economics,387,401,
DC010,Dublin City University,Post Primary Teacher Education - Religious Education and English,386,413,
DT572,Technological University Dublin City Campus,Early Childhood Education,385,403,
LY908,Letterkenny Institute of Technology,General Nursing,383,390,
GY110,"National University of Ireland, Galway",Arts with Children's Studies,382,409,
LM096,University of Limerick,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),382,422,
CR335,Cork Institute of Technology,Biological Sciences (Common Entry),381,419,
CR500,Cork Institute of Technology,Engineering (Common Entry),381,424,
DC200,Dublin City University,Common Entry into Engineering (Undenominated Entry),381,444,
DT211,Technological University Dublin City Campus,Computer Science (Infrastructure),381,414,
DN453,University College Dublin (NUI),Mental Health Nursing,379,403,
LC362,Limerick Institute of Technology,Biotechnology and Biopharmaceutical Sciences,379,402,
WD191,Waterford Institute of Technology,Agricultural Science,378,421,
DT282,Technological University Dublin City Campus,Computer Science (International),377,402,
TR021,Trinity College Dublin,"Classics, Ancient History and Archaeology",377,495,
MI011,Mary Immaculate College,"Education, Irish and Religious Studies (Thurles Campus)",377,387,
GA980,Galway-Mayo Institute of Technology,Education (Design Graphics and Construction) - Letterfrack Campus,376,389,
DT398,Technological University Dublin City Campus,Human Resource Management,375,388,
