Course Code,Course Title,HEI,CATEGORY (ISCED Description),R1 Points
TU936,Sports Science and Health,Technological University Dublin,Biological and related sciences,484
TU941,Botanical Cuisine,Technological University Dublin,Personal services,311
TU942,Culinary Arts,Technological University Dublin,Personal services,252
TU943,Culinary Entrepreneurship,Technological University Dublin,Personal services,261
TU944,Culinary Science,Technological University Dublin,Personal services,336
TU951,International Hospitality and Tourism Management,Technological University Dublin,Personal services,244
TU952,International Hospitality Management,Technological University Dublin,Personal services,309
TU953,Tourism and Digital Marketing,Technological University Dublin,Personal services,308
TU954,Event Management,Technological University Dublin,Personal services,326
TU955,Sports and Leisure Management,Technological University Dublin,Personal services,275
TU961,Commercial Modern Music (BIMM - assessment/audition),Technological University Dublin,Arts,536
TU962,"Drama (Performance, audition)",Technological University Dublin,Arts,448
TU963,Music (audition),Technological University Dublin,Arts,364
TU965,International Business and Languages,Technological University Dublin,Business and administration,357
TU967,Languages and International Tourism,Technological University Dublin,Arts,298
TU973,Design - Visual Communication (portfolio),Technological University Dublin,Arts,700
TU974,Fine Art (portfolio),Technological University Dublin,Arts,549
TU975,Interior Design (portfolio),Technological University Dublin,Arts,544
TU976,Photography (portfolio),Technological University Dublin,Arts,700
TU978,Creative Industries and Visual Culture,Technological University Dublin,Arts,299
TU981,Creative Digital Media,Technological University Dublin,Arts,280
TU982,Media Production and Digital Arts,Technological University Dublin,Arts,369
TU983,Film and Broadcasting,Technological University Dublin,Arts,462
TU984,Game Design,Technological University Dublin,Information and Communication Technologies (ICTs),414
TU985,Journalism,Technological University Dublin,Journalism and information,367
TU989,Early Childhood Care and Education (campus options),Technological University Dublin,Education,270
TU991,Applied Social Studies in Social Care,Technological University Dublin,Welfare,326
TU992,Community Development and Youth Work,Technological University Dublin,Social and behavioural sciences,251
TU995,Early Childhood Education,Technological University Dublin,Education,378
TU996,Social Care,Technological University Dublin,Social and behavioural sciences,407
TU997,Applied Social Care,Technological University Dublin,Welfare,320
TR002,Music,Trinity College Dublin,Arts,508
TR003,History,Trinity College Dublin,Humanities (except languages),552
TR004,Law,Trinity College Dublin,Law,590
TR005,Philosophy,Trinity College Dublin,Humanities (except languages),510
TR006,Psychology,Trinity College Dublin,Social and behavioural sciences,601
TR007,Clinical Speech and Language Studies,Trinity College Dublin,Health,564
TR009,Music Education,Trinity College Dublin,Education,496
TR015,"Philosophy, Political Science, Economics and Sociology",Trinity College Dublin,Social and behavioural sciences,613
TR016,Deaf Studies,Trinity College Dublin,Languages,389
TR018,Law and French,Trinity College Dublin,Law,602
TR019,Law and German,Trinity College Dublin,Law,577
TR021,"Classics, Ancient History and Archaeology",Trinity College Dublin,Humanities (except languages),467
TR022,Early and Modern Irish,Trinity College Dublin,Languages,377
TR023,English Studies,Trinity College Dublin,Languages,546
TR024,European Studies,Trinity College Dublin,Humanities (except languages),566
TR025,Drama and Theatre Studies,Trinity College Dublin,Arts,543
TR028,Ancient and Medieval History and Culture,Trinity College Dublin,Humanities (except languages),498
TR031,Mathematics,Trinity College Dublin,Mathematics and statistics,579
TR032,Engineering,Trinity College Dublin,Engineering and engineering trades,556
TR033,Computer Science,Trinity College Dublin,Information and Communication Technologies (ICTs),566
TR034,Management Science and Information Systems Studies,Trinity College Dublin,Business and administration,625
TR035,Theoretical Physics,Trinity College Dublin,Physical sciences,590
TR038,Engineering with Management,Trinity College Dublin,Engineering and engineering trades,589
TR039,"Computer Science, Linguistics and a Language",Trinity College Dublin,Information and Communication Technologies (ICTs),443
TR040,Middle Eastern and European Languages and Cultures,Trinity College Dublin,Languages,520
TR041,Religion,Trinity College Dublin,Humanities (except languages),417
TR042,Film,Trinity College Dublin,Arts,531
TR043,History of Art and Architecture,Trinity College Dublin,Humanities (except languages),498
TR051,Medicine (HPAT required),Trinity College Dublin,Health,743
TR052,Dental Science,Trinity College Dublin,Health,625
TR053,Physiotherapy,Trinity College Dublin,Health,590
TR054,Occupational Therapy,Trinity College Dublin,Health,578
TR055,Radiation Therapy,Trinity College Dublin,Health,577
TR056,Human Health and Disease,Trinity College Dublin,Health,601
TR060,Biological and Biomedical Sciences,Trinity College Dublin,Biological and related sciences,578
TR061,Chemical Sciences,Trinity College Dublin,Physical sciences,558
TR062,Geography and Geoscience,Trinity College Dublin,Physical sciences,495
TR063,Physical Sciences,Trinity College Dublin,Physical sciences,554
TR064,Environmental Science and Engineering,Trinity College Dublin,Environment,555
TR072,Pharmacy,Trinity College Dublin,Health,613
TR080,Global Business,Trinity College Dublin,Business and administration,613
TR081,"Business, Economic and Social Studies (BESS)",Trinity College Dublin,Social and behavioural sciences,577
TR084,Social Studies (Social Work),Trinity College Dublin,Welfare,497
TR085,Business Studies and French,Trinity College Dublin,Business and administration,564
TR086,Business Studies and German,Trinity College Dublin,Business and administration,530
TR087,Business Studies and Russian,Trinity College Dublin,Business and administration,487
TR089,Business Studies and Polish,Trinity College Dublin,Business and administration,391
TR090,Business Studies and Spanish,Trinity College Dublin,Business and administration,566
TR091,General Nursing (Meath and St James`s),Trinity College Dublin,Health,462
TR093,General Nursing (Adelaide School of Nursing),Trinity College Dublin,Health,473
TR095,Mental Health Nursing,Trinity College Dublin,Health,442
TR097,Intellectual Disability Nursing,Trinity College Dublin,Health,412
TR111,Ancient History and Archaeology/Geography,Trinity College Dublin,Arts,496
TR112,Ancient History and Archaeology/History,Trinity College Dublin,Arts,577
TR113,Ancient History and Archaeology/History of Art and Architecture,Trinity College Dublin,Arts,528
TR114,Ancient History and Archaeology/Modern Language,Trinity College Dublin,Arts,507
TR117,Ancient History and Archaeology/Religion,Trinity College Dublin,Arts,494
TR166,Classical Civilisation/English Literature,Trinity College Dublin,Arts,552
TR173,Classical Civilisation/History of Art and Architecture,Trinity College Dublin,Arts,420
TR177,Classical Civilisation/Modern Language,Trinity College Dublin,Arts,484
TR179,Classical Civilisation/Philosophy,Trinity College Dublin,Arts,508
TR188,Computer Science/Business Studies,Trinity College Dublin,Information and Communication Technologies (ICTs),584
TR198,Economics/Geography,Trinity College Dublin,Arts,968
TR202,Economics/History,Trinity College Dublin,Arts,601
TR207,Economics/Mathematics,Trinity College Dublin,Arts,613
TR208,Economics/Modern Language,Trinity College Dublin,Arts,589
TR209,Economics/Philosophy,Trinity College Dublin,Arts,588
TR212,Economics/Sociology,Trinity College Dublin,Arts,589
TR214,Social Policy/Economics,Trinity College Dublin,Social and behavioural sciences,611
TR228,Classical Languages/English Literature,Trinity College Dublin,Arts,555
TR230,Classical Languages/Linguistics,Trinity College Dublin,Interdisciplinary programmes and qualifications involving arts and humanities,501
TR231,Classical Languages/History of Art and Architecture,Trinity College Dublin,Interdisciplinary programmes and qualifications involving arts and humanities,613
TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",Trinity College Dublin,Interdisciplinary programmes and qualifications involving arts and humanities,583
TR239,Classical Languages/Modern Language,Trinity College Dublin,Arts,543
TR240,Computer Science/Geography,Trinity College Dublin,Information and Communication Technologies (ICTs),482
TR241,Computer Science/Linguistics,Trinity College Dublin,Information and Communication Technologies (ICTs),495
TR262,English Literature/History,Trinity College Dublin,Arts,576
TR263,English Literature/History of Art and Architecture,Trinity College Dublin,Arts,571
TR269,English Literature/Philosophy,Trinity College Dublin,Arts,555
TR272,English Literature/Sociology,Trinity College Dublin,Arts,553
TR276,English Literature/Drama Studies,Trinity College Dublin,Arts,555
TR277,English Literature/Modern Language,Trinity College Dublin,Arts,554
TR311,Film/Drama Studies,Trinity College Dublin,Arts,578
TR312,Film/English Literature,Trinity College Dublin,Arts,576
TR320,Film/Music,Trinity College Dublin,Arts,584
TR322,Geography/History,Trinity College Dublin,Arts,578
TR323,Drama Studies/Modern Language,Trinity College Dublin,Arts,495
TR324,Film/Modern Language,Trinity College Dublin,Arts,577
TR325,Film/History,Trinity College Dublin,Arts,578
TR326,Geography/Modern Language,Trinity College Dublin,Arts,451
TR328,Political Science/Geography,Trinity College Dublin,Social and behavioural sciences,564
TR332,Geography/Sociology,Trinity College Dublin,Arts,522
TR443,History/History of Art and Architecture,Trinity College Dublin,Arts,581
TR447,History/Modern Language,Trinity College Dublin,Arts,576
TR449,History/Philosophy,Trinity College Dublin,Arts,579
TR455,History of Art and Architecture/Modern Language,Trinity College Dublin,Arts,451
TR457,History/Political Science,Trinity College Dublin,Social and behavioural sciences,576
TR479,History of Art and Architecture/Philosophy,Trinity College Dublin,Arts,509
TR482,Sociology/History of Art and Architecture,Trinity College Dublin,Social and behavioural sciences,522
TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",Trinity College Dublin,Arts,543
TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",Trinity College Dublin,Arts,544
TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",Trinity College Dublin,Arts,576
TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",Trinity College Dublin,Arts,590
TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",Trinity College Dublin,Arts,999
TR580,Business Studies/Law,Trinity College Dublin,Business and administration,625
TR581,History/Law,Trinity College Dublin,Arts,625
TR582,Political Science/Law,Trinity College Dublin,Social and behavioural sciences,625
TR588,Linguistics/Modern Language,Trinity College Dublin,Arts,456
TR589,Linguistics/Philosophy,Trinity College Dublin,Arts,520
TR592,"Sociology/Middle Eastern,Jewish and Islamic Civilisations",Trinity College Dublin,Social and behavioural sciences,531
TR597,Mathematics/Modern Language,Trinity College Dublin,Arts,613
TR598,Mathematics/Music,Trinity College Dublin,Arts,625
TR599,Mathematics/Philosophy,Trinity College Dublin,Arts,625
TR629,Music/Philosophy,Trinity College Dublin,Arts,533
TR635,Music/Drama Studies,Trinity College Dublin,Arts,532
TR636,Music/Modern Language,Trinity College Dublin,Arts,530
TR639,Philosophy/Modern Language,Trinity College Dublin,Arts,520
TR662,Philosophy/Sociology,Trinity College Dublin,Arts,531
TR663,Religion/Classical Civilisation,Trinity College Dublin,Arts,418
TR664,Religion/English Literature,Trinity College Dublin,Arts,968
TR665,Religion/History of Art and Architecture,Trinity College Dublin,Arts,369
TR667,French/Modern Language,Trinity College Dublin,Arts,466
TR668,German/Modern Language,Trinity College Dublin,Arts,441
TR669,Irish/Modern Language,Trinity College Dublin,Arts,464
TR670,Italian/Modern Language,Trinity College Dublin,Arts,462
TR671,Russian/Modern Language,Trinity College Dublin,Arts,501
TR672,Spanish/Modern Language,Trinity College Dublin,Arts,486
TR756,Sociology/Modern Language,Trinity College Dublin,Arts,522
TR757,Modern Language/Social Policy,Trinity College Dublin,Social and behavioural sciences,555
TR758,Social Policy/Political Science,Trinity College Dublin,Social and behavioural sciences,566
TR759,Sociology/Social Policy,Trinity College Dublin,Social and behavioural sciences,554
TR911,Children`s and General Nursing (Integrated),Trinity College Dublin,Health,531
TR913,Midwifery,Trinity College Dublin,Health,521
DN100,Architecture,University College Dublin (NUI),Architecture and construction,555
DN120,Landscape Architecture,University College Dublin (NUI),Architecture and construction,463
DN130,City Planning and Environmental Policy,University College Dublin (NUI),Architecture and construction,445
DN150,Engineering (Common Entry),University College Dublin (NUI),Engineering and engineering trades,565
DN200,Science (options),University College Dublin (NUI),"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",577
DN201,Computer Science (Common Entry),University College Dublin (NUI),Information and Communication Technologies (ICTs),554
DN230,Actuarial and Financial Studies,University College Dublin (NUI),Mathematics and statistics,613
DN240,Sustainability,University College Dublin (NUI),Environment,510
DN250,Agricultural Science (options),University College Dublin (NUI),"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",454
DN261,Food Science,University College Dublin (NUI),Agriculture,531
DN262,Human Nutrition,University College Dublin (NUI),Health,566
DN300,Veterinary Medicine - Undergraduate Entry,University College Dublin (NUI),Veterinary,601
DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),University College Dublin (NUI),Veterinary,#
DN310,Veterinary Nursing,University College Dublin (NUI),Veterinary,521
DN400,Medicine - Undergraduate Entry (HPAT required),University College Dublin (NUI),Health,743
DN401,Medicine - Graduate Entry (GAMSAT required),University College Dublin (NUI),Health,61
DN410,Radiography,University College Dublin (NUI),Health,566
DN411,Radiography - Graduate Entry,University College Dublin (NUI),Health,#
DN420,Physiotherapy,University College Dublin (NUI),Health,601
DN425,Health and Performance Science,University College Dublin (NUI),Health,544
DN430,Sport and Exercise Management,University College Dublin (NUI),Business and administration,484
DN440,"Biomedical, Health and Life Sciences",University College Dublin (NUI),Biological and related sciences,613
DN450,General Nursing,University College Dublin (NUI),Health,462
DN451,Children`s and General Nursing (Integrated),University College Dublin (NUI),Health,533
DN452,Midwifery,University College Dublin (NUI),Health,510
DN453,Mental Health Nursing,University College Dublin (NUI),Health,442
DN520,Joint Honours (options),University College Dublin (NUI),Arts,381
DN530,Humanities (options),University College Dublin (NUI),Humanities (except languages),397
DN541,Modern Languages (options),University College Dublin (NUI),Languages,320
DN600,Law (options),University College Dublin (NUI),Law,576
DN610,Business and Law,University College Dublin (NUI),Business and administration,573
DN650,Commerce,University College Dublin (NUI),Business and administration,555
DN660,Commerce International (options),University College Dublin (NUI),Business and administration,555
DN670,Economics and Finance,University College Dublin (NUI),Business and administration,625
DN700,Social Sciences (options),University College Dublin (NUI),Social and behavioural sciences,475
DN710,Economics,University College Dublin (NUI),Social and behavioural sciences,534
DN720,Psychology,University College Dublin (NUI),Social and behavioural sciences,566
DN750,Social Policy and Sociology,University College Dublin (NUI),Social and behavioural sciences,421
DK810,Accounting and Finance,Dundalk Institute of Technology,Business and administration,307
DK816,Business Studies,Dundalk Institute of Technology,Business and administration,301
DK820,Computing in Games Development,Dundalk Institute of Technology,Information and Communication Technologies (ICTs),309
DK821,Computing in Software Development,Dundalk Institute of Technology,Information and Communication Technologies (ICTs),320
DK822,Augmented and Virtual Reality,Dundalk Institute of Technology,Information and Communication Technologies (ICTs),320
DK830,Building Surveying,Dundalk Institute of Technology,Architecture and construction,305
DK831,Architectural Technology,Dundalk Institute of Technology,Architecture and construction,368
DK832,Construction Management,Dundalk Institute of Technology,Architecture and construction,358
DK843,Engineering (Common Entry),Dundalk Institute of Technology,Engineering and engineering trades,404
DK844,Mechanical Engineering,Dundalk Institute of Technology,Engineering and engineering trades,336
DK845,Electrical and Electronic Engineering,Dundalk Institute of Technology,Engineering and engineering trades,331
DK846,Civil Engineering,Dundalk Institute of Technology,Architecture and construction,371
DK850,International Tourism Management,Dundalk Institute of Technology,Personal services,303
DK861,Arts,Dundalk Institute of Technology,Social and behavioural sciences,302
DK862,Social Care,Dundalk Institute of Technology,Welfare,322
DK863,Creative Media,Dundalk Institute of Technology,Arts,336
DK864,Film and Television Production,Dundalk Institute of Technology,Arts,308
DK865,Audio and Music Production,Dundalk Institute of Technology,Arts,352
DK870,General Nursing,Dundalk Institute of Technology,Health,440
DK872,Intellectual Disability Nursing,Dundalk Institute of Technology,Health,367
DK874,Mental Health Nursing,Dundalk Institute of Technology,Health,398
DK876,Early Childhood Studies,Dundalk Institute of Technology,Welfare,300
DK877,Midwifery,Dundalk Institute of Technology,Health,482
DK880,Health and Physical Activity,Dundalk Institute of Technology,Health,301
DK882,Agriculture (Award options),Dundalk Institute of Technology,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",342
DK883,Science (Award options),Dundalk Institute of Technology,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",373
DK884,Sustainable Agriculture,Dundalk Institute of Technology,Agriculture,348
DK886,Biopharmaceutical Science,Dundalk Institute of Technology,Manufacturing and processing,379
DK887,Environmental Science,Dundalk Institute of Technology,Environment,377
GA181,Accounting,Galway-Mayo Institute of Technology,Business and administration,303
GA182,Business,Galway-Mayo Institute of Technology,Business and administration,285
GA183,Business Information Systems,Galway-Mayo Institute of Technology,Information and Communication Technologies (ICTs),298
GA184,Marketing and Sales,Galway-Mayo Institute of Technology,Business and administration,300
GA185,Finance and Economics,Galway-Mayo Institute of Technology,Business and administration,318
GA186,Business with Entrepreneurship,Galway-Mayo Institute of Technology,Business and administration,287
GA187,Rural Enterprise and Agri-Business,Galway-Mayo Institute of Technology,Agriculture,291
GA281,Film and Documentary,Galway-Mayo Institute of Technology,Arts,310
GA282,Heritage Studies,Galway-Mayo Institute of Technology,Social and behavioural sciences,252
GA283,Contemporary Art (portfolio),Galway-Mayo Institute of Technology,Arts,790
GA284,Design,Galway-Mayo Institute of Technology,Arts,331
GA285,"Education (Art, Design and Graphics)",Galway-Mayo Institute of Technology,Education,406
GA380,International Hotel Management,Galway-Mayo Institute of Technology,Personal services,218
GA381,International Tourism Management,Galway-Mayo Institute of Technology,Personal services,252
GA382,Culinary and Gastronomic Science,Galway-Mayo Institute of Technology,Manufacturing and processing,235
GA384,Event Management with Public Relations,Galway-Mayo Institute of Technology,Personal services,230
GA480,Construction Management,Galway-Mayo Institute of Technology,Architecture and construction,302
GA482,Quantity Surveying and Construction Economics,Galway-Mayo Institute of Technology,Architecture and construction,304
GA483,Architectural Technology,Galway-Mayo Institute of Technology,Architecture and construction,281
GA484,Civil Engineering,Galway-Mayo Institute of Technology,Architecture and construction,377
GA580,Software and Electronic Engineering,Galway-Mayo Institute of Technology,Engineering and engineering trades,300
GA680,Mechanical Engineering,Galway-Mayo Institute of Technology,Engineering and engineering trades,400
GA681,Energy Engineering,Galway-Mayo Institute of Technology,Engineering and engineering trades,312
GA682,Biomedical Engineering,Galway-Mayo Institute of Technology,Engineering and engineering trades,331
GA683,Agricultural Engineering,Galway-Mayo Institute of Technology,Engineering and engineering trades,304
GA684,Engineering Common Entry to Manu/Agri/Biomed/Energy/Mech Eng,Galway-Mayo Institute of Technology,Engineering and engineering trades,413
GA685,Manufacturing Engineering Design,Galway-Mayo Institute of Technology,Manufacturing and processing,336
GA780,Applied Freshwater and Marine Biology,Galway-Mayo Institute of Technology,Biological and related sciences,366
GA781,Applied Biology and Biopharmaceutical Science,Galway-Mayo Institute of Technology,Biological and related sciences,381
GA782,Chemical and Pharmaceutical Science,Galway-Mayo Institute of Technology,Environment,356
GA783,Physics and Instrumentation,Galway-Mayo Institute of Technology,Physical sciences,301
GA784,Science (Undenominated),Galway-Mayo Institute of Technology,Biological and related sciences,445
GA785,Medical Science,Galway-Mayo Institute of Technology,Health,517
GA786,Forensic Science and Analysis,Galway-Mayo Institute of Technology,Physical sciences,408
GA787,Computing in Software Development,Galway-Mayo Institute of Technology,Information and Communication Technologies (ICTs),310
GA788,Computing and Digital Media,Galway-Mayo Institute of Technology,Information and Communication Technologies (ICTs),270
GA789,Agriculture and Environmental Management,Galway-Mayo Institute of Technology,Agriculture,340
GA790,Sport and Exercise Science,Galway-Mayo Institute of Technology,Personal services,376
GA791,Public Health Nutrition,Galway-Mayo Institute of Technology,Biological and related sciences,368
GA880,General Nursing,Galway-Mayo Institute of Technology,Health,440
GA882,Psychiatric Nursing,Galway-Mayo Institute of Technology,Health,369
GA885,Outdoor Education,Galway-Mayo Institute of Technology,Personal services,269
GA887,History and Geography,Galway-Mayo Institute of Technology,Humanities (except languages),201
GA889,Applied Social Care,Galway-Mayo Institute of Technology,Welfare,265
GA890,Early Childhood Education and Care,Galway-Mayo Institute of Technology,Education,281
GA891,Geography and Outdoor Education,Galway-Mayo Institute of Technology,Environment,261
GA980,Education (Design Graphics and Construction),Galway-Mayo Institute of Technology,Education,410
GA981,Furniture Design and Manufacture,Galway-Mayo Institute of Technology,Arts,346
GA982,Furniture Making and Architectural Woodworking,Galway-Mayo Institute of Technology,Arts,360
GA984,"Furniture Design, Making and Technology - Common Entry",Galway-Mayo Institute of Technology,Arts,486
GY101,Arts (Joint-Honours),"National University of Ireland, Galway",Arts,327
GY104,BSc (Psychology),"National University of Ireland, Galway",Social and behavioural sciences,564
GY105,Arts (History),"National University of Ireland, Galway",Humanities (except languages),357
GY109,Arts (Mathematics and Education),"National University of Ireland, Galway",Education,413
GY110,Arts (Children and Youth Studies - options),"National University of Ireland, Galway",Social and behavioural sciences,387
GY111,Arts (English and Creative Writing),"National University of Ireland, Galway",Arts,421
GY113,Arts with Human Rights,"National University of Ireland, Galway",Social and behavioural sciences,413
GY115,Arts with Performing Arts Studies,"National University of Ireland, Galway",Arts,300
GY118,"Arts (Drama, Theatre and Performance Studies)","National University of Ireland, Galway",Arts,453
GY119,Arts (Journalism),"National University of Ireland, Galway",Journalism and information,484
GY122,Na Dána (Cumarsáid agus Gaeilge),"National University of Ireland, Galway",Arts,410
GY123,Applied Social Sciences,"National University of Ireland, Galway",Social and behavioural sciences,419
GY125,Arts (Digital Arts and Technology),"National University of Ireland, Galway",Arts,403
GY127,Arts (Film and Digital Media),"National University of Ireland, Galway",Arts,430
GY128,Arts (Global Languages),"National University of Ireland, Galway",Languages,346
GY129,Arts (Global Experience),"National University of Ireland, Galway",Arts,465
GY130,Arts (Music),"National University of Ireland, Galway",Arts,462
GY132,"Government (Politics, Economics and Law)","National University of Ireland, Galway",Social and behavioural sciences,465
GY133,Education (Computer Science and Mathematical Studies),"National University of Ireland, Galway",Education,454
GY134,Geography and Geosystems,"National University of Ireland, Galway",Physical sciences,425
GY135,Arts (Global Media),"National University of Ireland, Galway",Arts,442
GY136,Na Dána (Léann Teanga - options),"National University of Ireland, Galway",Languages,526
GY201,Commerce,"National University of Ireland, Galway",Business and administration,476
GY202,Commerce (International) with French,"National University of Ireland, Galway",Business and administration,520
GY203,Commerce (International) with German,"National University of Ireland, Galway",Business and administration,518
GY204,Commerce (International) with Spanish,"National University of Ireland, Galway",Business and administration,506
GY206,Business Information Systems (Work Placement and Optional Int`l Study),"National University of Ireland, Galway",Business and administration,509
GY207,Commerce (Accounting) including optional Global Experience year,"National University of Ireland, Galway",Business and administration,543
GY208,Commerce (Gaeilge),"National University of Ireland, Galway",Business and administration,508
GY209,Commerce (Global Experience),"National University of Ireland, Galway",Business and administration,551
GY250,Law and Business,"National University of Ireland, Galway",Law,510
GY251,Law (BCL),"National University of Ireland, Galway",Law,542
GY252,Law (BCL) and Human Rights,"National University of Ireland, Galway",Law,565
GY253,Law and Taxation,"National University of Ireland, Galway",Law,506
GY254,"Law (BCL), Criminology and Criminal Justice","National University of Ireland, Galway",Law,548
GY261,Business Studies in International Hotel Management (interview),"National University of Ireland, Galway",Business and administration,503
GY262,Commerce in International Hotel Management (interview),"National University of Ireland, Galway",Business and administration,709
GY301,Science,"National University of Ireland, Galway",Biological and related sciences,489
GY303,Biomedical Science,"National University of Ireland, Galway",Biological and related sciences,613
GY304,Biotechnology,"National University of Ireland, Galway",Engineering and engineering trades,498
GY308,Environmental Science,"National University of Ireland, Galway",Environment,431
GY309,Financial Mathematics and Economics,"National University of Ireland, Galway",Mathematics and statistics,509
GY310,Marine Science,"National University of Ireland, Galway",Physical sciences,467
GY313,Environmental Health and Safety,"National University of Ireland, Galway",Hygiene and occupational health services,412
GY314,Earth and Ocean Sciences,"National University of Ireland, Galway",Physical sciences,422
GY318,Biopharmaceutical Chemistry,"National University of Ireland, Galway",Biological and related sciences,555
GY319,Mathematical Science,"National University of Ireland, Galway",Mathematics and statistics,543
GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)","National University of Ireland, Galway",Physical sciences,465
GY321,Genetics and Genomics,"National University of Ireland, Galway",Biological and related sciences,532
GY322,Agricultural Sciences,"National University of Ireland, Galway",Agriculture,485
GY350,Computer Science and Information Technology,"National University of Ireland, Galway",Information and Communication Technologies (ICTs),495
GY401,Engineering (Undenominated),"National University of Ireland, Galway",Engineering and engineering trades,522
GY402,Civil Engineering,"National University of Ireland, Galway",Architecture and construction,533
GY405,Mechanical Engineering,"National University of Ireland, Galway",Engineering and engineering trades,541
GY406,Electronic and Computer Engineering,"National University of Ireland, Galway",Engineering and engineering trades,555
GY408,Biomedical Engineering,"National University of Ireland, Galway",Engineering and engineering trades,554
GY410,Project and Construction Management,"National University of Ireland, Galway",Architecture and construction,431
GY413,Energy Systems Engineering,"National University of Ireland, Galway",Engineering and engineering trades,509
GY414,Electrical and Electronic Engineering,"National University of Ireland, Galway",Engineering and engineering trades,433
GY501,"Medicine (five year/six year course, HPAT required)","National University of Ireland, Galway",Health,737
GY502,Occupational Therapy,"National University of Ireland, Galway",Health,601
GY503,Speech and Language Therapy,"National University of Ireland, Galway",Health,578
GY504,Podiatric Medicine,"National University of Ireland, Galway",Health,531
GY515,General Nursing (Galway and Portiuncula),"National University of Ireland, Galway",Health,502
GY516,Mental Health Nursing,"National University of Ireland, Galway",Health,475
GY517,Midwifery,"National University of Ireland, Galway",Health,520
LY108,Business - Accounting,Letterkenny Institute of Technology,Business and administration,312
LY118,Business,Letterkenny Institute of Technology,Business and administration,288
LY128,Marketing with Online Technologies,Letterkenny Institute of Technology,Business and administration,261
LY208,Law,Letterkenny Institute of Technology,Law,300
LY228,Sports and Exercise - Common Entry,Letterkenny Institute of Technology,Personal services,290
LY408,Design - Common Entry,Letterkenny Institute of Technology,Arts,301
LY508,Fire Safety Engineering,Letterkenny Institute of Technology,Architecture and construction,283
LY518,Quantity Surveying,Letterkenny Institute of Technology,Architecture and construction,304
LY528,Construction Management,Letterkenny Institute of Technology,Architecture and construction,262
LY538,Architectural Technology,Letterkenny Institute of Technology,Architecture and construction,234
LY608,Mechanical Engineering,Letterkenny Institute of Technology,Engineering and engineering trades,300
LY618,Electronic Engineering,Letterkenny Institute of Technology,Engineering and engineering trades,321
LY708,Applied Computing,Letterkenny Institute of Technology,Information and Communication Technologies (ICTs),320
LY748,Computer Science,Letterkenny Institute of Technology,Information and Communication Technologies (ICTs),316
LY818,Science - Common Entry,Letterkenny Institute of Technology,Biological and related sciences,302
LY828,Agriculture - Common Entry,Letterkenny Institute of Technology,Agriculture,308
LY908,General Nursing,Letterkenny Institute of Technology,Health,429
LY918,Psychiatric Nursing,Letterkenny Institute of Technology,Health,367
LY928,Intellectual Disability Nursing,Letterkenny Institute of Technology,Health,357
LY968,"Early Childhood Care, Health and Education",Letterkenny Institute of Technology,Welfare,288
LY978,Health and Social Care - Common Entry,Letterkenny Institute of Technology,Health,279
MI001,Contemporary and Applied Theatre Studies,Mary Immaculate College,Arts,209
MI002,Arts,Mary Immaculate College,Arts,280
MI004,Education - Primary Teaching - International,Mary Immaculate College,Education,589
MI005,Education - Primary Teaching,Mary Immaculate College,Education,522
MI006,Education - Primary Teaching - Gaeltacht Applicants,Mary Immaculate College,Education,485
MI007,Early Childhood Care and Education,Mary Immaculate College,Education,409
MI008,Education and Psychology - Primary Teaching,Mary Immaculate College,Education,590
MI009,"Education, Business Studies and Accounting",Mary Immaculate College,Education,434
MI010,"Education, Business Studies and Religious Studies",Mary Immaculate College,Education,370
MI011,"Education, Gaeilge and Religious Studies",Mary Immaculate College,Education,407
MI012,"Education, Gaeilge and Business Studies",Mary Immaculate College,Education,387
MI013,"Education, Mathematics and Gaeilge",Mary Immaculate College,Education,509
MI014,"Education, Mathematics and Business Studies",Mary Immaculate College,Education,476
CI110,Counselling and Psychotherapy,Irish College of Humanities & Applied Sciences,Welfare,292
CI111,Counselling and Psychotherapy with Addiction Studies,Irish College of Humanities & Applied Sciences,Welfare,290
CI112,Counselling and Psychotherapy with Youth Studies,Irish College of Humanities & Applied Sciences,Welfare,325
LC110,"Art and Design (Common Entry, portfolio)",Limerick Institute of Technology,Arts,794
LC114,Fashion and Textiles for Product and Costume (portfolio),Limerick Institute of Technology,Arts,914
LC115,"Art and Design Teacher Education (LIT and UL, portfolio)",Limerick Institute of Technology,Education,993
LC220,Digital Marketing,Limerick Institute of Technology,Business and administration,263
LC223,Law and Taxation,Limerick Institute of Technology,Law,331
LC224,Accounting and Finance,Limerick Institute of Technology,Business and administration,300
LC225,Marketing and Management,Limerick Institute of Technology,Business and administration,298
LC226,Enterprise and Innovation,Limerick Institute of Technology,Business and administration,255
