Course Code,Course Title,HEI Code,HEI,R1 Points,Year,ISCED
GY301,Science,GY,"National University of Ireland, Galway",489,2021,Biological and related sciences
GY303,Biomedical Science,GY,"National University of Ireland, Galway",613,2021,Biological and related sciences
GY304,Biotechnology,GY,"National University of Ireland, Galway",498,2021,Engineering and engineering trades
GY308,Environmental Science,GY,"National University of Ireland, Galway",431,2021,Environment
GY309,Financial Mathematics and Economics,GY,"National University of Ireland, Galway",509,2021,Mathematics and statistics
GY310,Marine Science,GY,"National University of Ireland, Galway",467,2021,Physical sciences
GY313,Environmental Health and Safety,GY,"National University of Ireland, Galway",412,2021,Hygiene and occupational health services
GY314,Earth and Ocean Sciences,GY,"National University of Ireland, Galway",422,2021,Physical sciences
GY318,Biopharmaceutical Chemistry,GY,"National University of Ireland, Galway",555,2021,Biological and related sciences
GY319,Mathematical Science,GY,"National University of Ireland, Galway",543,2021,Mathematics and statistics
GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",GY,"National University of Ireland, Galway",465,2021,Physical sciences
GY321,Genetics and Genomics,GY,"National University of Ireland, Galway",532,2021,Biological and related sciences
GY322,Agricultural Sciences,GY,"National University of Ireland, Galway",485,2021,Agriculture
GY350,Computer Science and Information Technology,GY,"National University of Ireland, Galway",495,2021,Information and Communication Technologies (ICTs)
GY401,Engineering (Undenominated),GY,"National University of Ireland, Galway",522,2021,Engineering and engineering trades
GY402,Civil Engineering,GY,"National University of Ireland, Galway",533,2021,Architecture and construction
GY405,Mechanical Engineering,GY,"National University of Ireland, Galway",541,2021,Engineering and engineering trades
GY406,Electronic and Computer Engineering,GY,"National University of Ireland, Galway",555,2021,Engineering and engineering trades
GY408,Biomedical Engineering,GY,"National University of Ireland, Galway",554,2021,Engineering and engineering trades
GY410,Project and Construction Management,GY,"National University of Ireland, Galway",431,2021,Architecture and construction
GY413,Energy Systems Engineering,GY,"National University of Ireland, Galway",509,2021,Engineering and engineering trades
GY414,Electrical and Electronic Engineering,GY,"National University of Ireland, Galway",433,2021,Engineering and engineering trades
GY501,"Medicine (five year/six year course, HPAT required)",GY,"National University of Ireland, Galway",737,2021,Health
GY502,Occupational Therapy,GY,"National University of Ireland, Galway",601,2021,Health
GY503,Speech and Language Therapy,GY,"National University of Ireland, Galway",578,2021,Health
GY504,Podiatric Medicine,GY,"National University of Ireland, Galway",531,2021,Health
GY515,General Nursing (Galway and Portiuncula),GY,"National University of Ireland, Galway",502,2021,Health
GY516,Mental Health Nursing,GY,"National University of Ireland, Galway",475,2021,Health
GY517,Midwifery,GY,"National University of Ireland, Galway",520,2021,Health
LY108,Business - Accounting,LY,Letterkenny Institute of Technology,312,2021,Business and administration
LY118,Business,LY,Letterkenny Institute of Technology,288,2021,Business and administration
LY128,Marketing with Online Technologies,LY,Letterkenny Institute of Technology,261,2021,Business and administration
LY208,Law,LY,Letterkenny Institute of Technology,300,2021,Law
LY228,Sports and Exercise - Common Entry,LY,Letterkenny Institute of Technology,290,2021,Personal services
LY408,Design - Common Entry,LY,Letterkenny Institute of Technology,301,2021,Arts
LY508,Fire Safety Engineering,LY,Letterkenny Institute of Technology,283,2021,Architecture and construction
LY518,Quantity Surveying,LY,Letterkenny Institute of Technology,304,2021,Architecture and construction
LY528,Construction Management,LY,Letterkenny Institute of Technology,262,2021,Architecture and construction
LY538,Architectural Technology,LY,Letterkenny Institute of Technology,234,2021,Architecture and construction
LY608,Mechanical Engineering,LY,Letterkenny Institute of Technology,300,2021,Engineering and engineering trades
LY618,Electronic Engineering,LY,Letterkenny Institute of Technology,321,2021,Engineering and engineering trades
LY708,Applied Computing,LY,Letterkenny Institute of Technology,320,2021,Information and Communication Technologies (ICTs)
LY748,Computer Science,LY,Letterkenny Institute of Technology,316,2021,Information and Communication Technologies (ICTs)
LY818,Science - Common Entry,LY,Letterkenny Institute of Technology,302,2021,Biological and related sciences
LY828,Agriculture - Common Entry,LY,Letterkenny Institute of Technology,308,2021,Agriculture
LY908,General Nursing,LY,Letterkenny Institute of Technology,429,2021,Health
LY918,Psychiatric Nursing,LY,Letterkenny Institute of Technology,367,2021,Health
LY928,Intellectual Disability Nursing,LY,Letterkenny Institute of Technology,357,2021,Health
LY968,"Early Childhood Care, Health and Education",LY,Letterkenny Institute of Technology,288,2021,Welfare
LY978,Health and Social Care - Common Entry,LY,Letterkenny Institute of Technology,279,2021,Health
MI001,Contemporary and Applied Theatre Studies,MI,Mary Immaculate College,209,2021,Arts
MI002,Arts,MI,Mary Immaculate College,280,2021,Arts
MI004,Education - Primary Teaching - International,MI,Mary Immaculate College,589,2021,Education
MI005,Education - Primary Teaching,MI,Mary Immaculate College,522,2021,Education
MI006,Education - Primary Teaching - Gaeltacht Applicants,MI,Mary Immaculate College,485,2021,Education
MI007,Early Childhood Care and Education,MI,Mary Immaculate College,409,2021,Education
MI008,Education and Psychology - Primary Teaching,MI,Mary Immaculate College,590,2021,Education
MI009,"Education, Business Studies and Accounting",MI,Mary Immaculate College,434,2021,Education
MI010,"Education, Business Studies and Religious Studies",MI,Mary Immaculate College,370,2021,Education
MI011,"Education, Gaeilge and Religious Studies",MI,Mary Immaculate College,407,2021,Education
MI012,"Education, Gaeilge and Business Studies",MI,Mary Immaculate College,387,2021,Education
MI013,"Education, Mathematics and Gaeilge",MI,Mary Immaculate College,509,2021,Education
MI014,"Education, Mathematics and Business Studies",MI,Mary Immaculate College,476,2021,Education
CI110,Counselling and Psychotherapy,CI,Irish College of Humanities & Applied Sciences,292,2021,Welfare
CI111,Counselling and Psychotherapy with Addiction Studies,CI,Irish College of Humanities & Applied Sciences,290,2021,Welfare
CI112,Counselling and Psychotherapy with Youth Studies,CI,Irish College of Humanities & Applied Sciences,325,2021,Welfare
LC110,"Art and Design (Common Entry, portfolio)",LC,Limerick Institute of Technology,794,2021,Arts
LC114,Fashion and Textiles for Product and Costume (portfolio),LC,Limerick Institute of Technology,914,2021,Arts
LC115,"Art and Design Teacher Education (LIT and UL, portfolio)",LC,Limerick Institute of Technology,993,2021,Education
LC220,Digital Marketing,LC,Limerick Institute of Technology,263,2021,Business and administration
LC223,Law and Taxation,LC,Limerick Institute of Technology,331,2021,Law
LC224,Accounting and Finance,LC,Limerick Institute of Technology,300,2021,Business and administration
LC225,Marketing and Management,LC,Limerick Institute of Technology,298,2021,Business and administration
LC226,Enterprise and Innovation,LC,Limerick Institute of Technology,255,2021,Business and administration
LC233,Software Development,LC,Limerick Institute of Technology,280,2021,Information and Communication Technologies (ICTs)
LC234,Immersive Digital Media and Spatial Computing,LC,Limerick Institute of Technology,226,2021,Information and Communication Technologies (ICTs)
LC236,Internet Systems Development,LC,Limerick Institute of Technology,260,2021,Information and Communication Technologies (ICTs)
LC239,Computer Networks and Systems Management,LC,Limerick Institute of Technology,317,2021,Information and Communication Technologies (ICTs)
LC241,Construction Management,LC,Limerick Institute of Technology,326,2021,Architecture and construction
LC242,Property Valuation and Management,LC,Limerick Institute of Technology,308,2021,Architecture and construction
LC243,Quantity Surveying,LC,Limerick Institute of Technology,278,2021,Architecture and construction
LC248,Built Environment (Common Entry),LC,Limerick Institute of Technology,300,2021,Architecture and construction
LC252,Civil Engineering Management,LC,Limerick Institute of Technology,264,2021,Architecture and construction
LC263,Medical Technology,LC,Limerick Institute of Technology,391,2021,Health
LC265,Forensic and Pharmaceutical Sciences,LC,Limerick Institute of Technology,498,2021,Physical sciences
LC266,Drug and Medicinal Product Analysis,LC,Limerick Institute of Technology,252,2021,Physical sciences
LC275,Electrical Engineering,LC,Limerick Institute of Technology,361,2021,Engineering and engineering trades
LC288,Mechanical Engineering,LC,Limerick Institute of Technology,378,2021,Engineering and engineering trades
LC289,Precision Engineering,LC,Limerick Institute of Technology,261,2021,Engineering and engineering trades
LC292,Social Care Work,LC,Limerick Institute of Technology,374,2021,Welfare
LC293,Business Studies with Travel and Tourism Management,LC,Limerick Institute of Technology,271,2021,Personal services
LC294,Business Studies with Event Management,LC,Limerick Institute of Technology,279,2021,Personal services
LC295,Business Studies with Sports Management,LC,Limerick Institute of Technology,262,2021,Business and administration
LC297,Community and Addiction Studies,LC,Limerick Institute of Technology,272,2021,Social and behavioural sciences
LC320,Business,LC,Limerick Institute of Technology,381,2021,Business and administration
LC330,Business with Computing,LC,Limerick Institute of Technology,328,2021,Information and Communication Technologies (ICTs)
LC340,Interior Design,LC,Limerick Institute of Technology,391,2021,Arts
LC362,Biotechnology and Biopharmaceutical Sciences,LC,Limerick Institute of Technology,429,2021,Biological and related sciences
LC371,Creative Broadcast and Film Production,LC,Limerick Institute of Technology,325,2021,Arts
LC372,Music Technology and Production,LC,Limerick Institute of Technology,377,2021,Arts
LC374,Renewable and Electrical Energy Engineering,LC,Limerick Institute of Technology,337,2021,Engineering and engineering trades
LC375,Industrial Automation and Robotic Systems,LC,Limerick Institute of Technology,309,2021,Engineering and engineering trades
LC376,Electronic Engineering with Computer Systems,LC,Limerick Institute of Technology,357,2021,Engineering and engineering trades
LC380,Automotive Engineering and Transport Management,LC,Limerick Institute of Technology,298,2021,Engineering and engineering trades
LC392,Business Studies in Beauty and Spa Management,LC,Limerick Institute of Technology,328,2021,Personal services
LC393,Early Childhood Education and Care,LC,Limerick Institute of Technology,309,2021,Welfare
LC402,Social Care Work,LC,Limerick Institute of Technology,228,2021,Welfare
LC408,Environmental Science and Climate,LC,Limerick Institute of Technology,279,2021,Environment
LC416,Business,LC,Limerick Institute of Technology,260,2021,Business and administration
LC418,Computing - Games Design and Development,LC,Limerick Institute of Technology,260,2021,Information and Communication Technologies (ICTs)
LC422,Applied Strength and Conditioning,LC,Limerick Institute of Technology,289,2021,Personal services
LC502,Game Art and Design (portfolio),LC,Limerick Institute of Technology,841,2021,Information and Communication Technologies (ICTs)
LC517,Creative Media and Design,LC,Limerick Institute of Technology,279,2021,Information and Communication Technologies (ICTs)
LC518,Digital Animation Production (portfolio),LC,Limerick Institute of Technology,807,2021,Information and Communication Technologies (ICTs)
LC612,Social Care Work,LC,Limerick Institute of Technology,309,2021,Welfare
LM002,Arts,LM,University of Limerick,360,2021,Humanities (except languages)
LM019,Social Sciences,LM,University of Limerick,451,2021,Social and behavioural sciences
LM020,Law and Accounting,LM,University of Limerick,474,2021,Law
LM026,Performing Arts (audition format TBC),LM,University of Limerick,329,2021,Arts
LM028,Criminal Justice,LM,University of Limerick,420,2021,Law
LM029,Law Plus,LM,University of Limerick,530,2021,Law
LM038,Psychology and Sociology,LM,University of Limerick,530,2021,Social and behavioural sciences
LM039,Journalism and Digital Communication,LM,University of Limerick,432,2021,Journalism and information
LM040,European Studies,LM,University of Limerick,409,2021,Humanities (except languages)
LM044,Applied Languages,LM,University of Limerick,429,2021,Languages
LM050,Business Studies (options),LM,University of Limerick,451,2021,Business and administration
LM056,International Business,LM,University of Limerick,555,2021,Business and administration
LM058,Financial Mathematics,LM,University of Limerick,468,2021,Mathematics and statistics
LM063,Technology Management,LM,University of Limerick,410,2021,Information and Communication Technologies (ICTs)
LM066,Environmental Science,LM,University of Limerick,430,2021,Environment
LM068,Food Science and Health,LM,University of Limerick,464,2021,Manufacturing and processing
LM076,Product Design and Technology (portfolio required),LM,University of Limerick,401,2021,Manufacturing and processing
LM077,Aeronautical Engineering,LM,University of Limerick,567,2021,Engineering and engineering trades
LM082,Construction Management and Engineering,LM,University of Limerick,446,2021,Architecture and construction
LM089,Sport and Exercise Sciences,LM,University of Limerick,498,2021,Personal services
LM090,Physical Education with concurrent Teacher Education,LM,University of Limerick,552,2021,Education
LM091,Languages with concurrent Teacher Education,LM,University of Limerick,506,2021,Education
LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),LM,University of Limerick,521,2021,Education
LM093,Equine Science,LM,University of Limerick,367,2021,Biological and related sciences
LM094,Materials and Architectural Technology with concurrent Teacher Education,LM,University of Limerick,475,2021,Education
LM095,Materials and Engineering Technology with concurrent Teacher Education,LM,University of Limerick,425,2021,Education
LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),LM,University of Limerick,454,2021,Education
LM097,Mathematics and Computer Science with concurrent Teacher Education,LM,University of Limerick,465,2021,Mathematics and statistics
LM099,Architecture,LM,University of Limerick,520,2021,Architecture and construction
LM100,Physiotherapy,LM,University of Limerick,613,2021,Health
LM101,Medicine  - Graduate Entry (GAMSAT required),LM,University of Limerick,57,2021,Health
LM102,Psychology,LM,University of Limerick,534,2021,Social and behavioural sciences
LM103,Paramedic Studies (Full B/Provisional C1 Drivers Licence),LM,University of Limerick,429,2021,Health
LM105,Exercise and Health Fitness Management,LM,University of Limerick,441,2021,Personal services
LM115,Chemical and Biochemical Engineering,LM,University of Limerick,476,2021,Physical sciences
LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),LM,University of Limerick,498,2021,Engineering and engineering trades
LM118,Electronic and Computer Engineering,LM,University of Limerick,445,2021,Engineering and engineering trades
LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),LM,University of Limerick,402,2021,Information and Communication Technologies (ICTs)
LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),LM,University of Limerick,382,2021,Information and Communication Technologies (ICTs)
LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind Bio/Pharma and In,LM,University of Limerick,498,2021,Biological and related sciences
LM124,Mathematics (Math Science/Maths and Physics/Economics and Maths),LM,University of Limerick,455,2021,Mathematics and statistics
LM125,Physics (Applied Physics or Mathematics and Physics),LM,University of Limerick,489,2021,Physical sciences
LM150,General Nursing,LM,University of Limerick,498,2021,Health
LM152,Mental Health Nursing,LM,University of Limerick,478,2021,Health
LM154,Intellectual Disability Nursing,LM,University of Limerick,462,2021,Health
LM156,Midwifery,LM,University of Limerick,521,2021,Health
MU001,Theology and Arts,MU,"Pontifical University, St Patrick's College",294,2021,Interdisciplinary programmes and qualifications involving arts and humanities
MH001,Education - Primary Teaching (Froebel),MH,Maynooth University,564,2021,Education
MH003,Early Childhood - Teaching and Learning (full-time),MH,Maynooth University,381,2021,Education
MH101,Arts,MH,Maynooth University,338,2021,Humanities (except languages)
MH103,Music,MH,Maynooth University,,2021,Arts
MH106,Psychology - 3 years,MH,Maynooth University,554,2021,Social and behavioural sciences
MH107,Social Science,MH,Maynooth University,390,2021,Social and behavioural sciences
MH109,Media Studies,MH,Maynooth University,324,2021,Arts
MH116,Community and Youth Work (Full-Time),MH,Maynooth University,,2021,Welfare
MH201,Science,MH,Maynooth University,401,2021,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics"
MH202,Biotechnology,MH,Maynooth University,490,2021,Biological and related sciences
MH203,Biological and Geographical Sciences,MH,Maynooth University,451,2021,Biological and related sciences
MH204,Physics with Astrophysics,MH,Maynooth University,422,2021,Physical sciences
MH206,Theoretical Physics and Mathematics,MH,Maynooth University,521,2021,Mathematics and statistics
MH207,Data Science,MH,Maynooth University,444,2021,Information and Communication Technologies (ICTs)
MH208,Biological and Biomedical Sciences,MH,Maynooth University,543,2021,Biological and related sciences
MH209,Psychology (through Science) - 4 years,MH,Maynooth University,529,2021,Social and behavioural sciences
MH210,Pharmaceutical and Biomedical Chemistry,MH,Maynooth University,510,2021,Physical sciences
MH212,Science|Maths and Computer Science|Mathematics (with Education),MH,Maynooth University,452,2021,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics"
MH304,Engineering (Computer/Electronic/Communications),MH,Maynooth University,351,2021,Engineering and engineering trades
MH305,Product Design,MH,Maynooth University,326,2021,Engineering and engineering trades
MH306,Robotics and Intelligent Devices,MH,Maynooth University,362,2021,Engineering and engineering trades
MH401,Finance (options),MH,Maynooth University,370,2021,Business and administration
MH402,Quantitative Finance,MH,Maynooth University,476,2021,Business and administration
MH403,Accounting and Finance,MH,Maynooth University,424,2021,Business and administration
MH404,Business (options),MH,Maynooth University,441,2021,Business and administration
MH407,Business and Accounting,MH,Maynooth University,423,2021,Business and administration
MH411,Entrepreneurship,MH,Maynooth University,378,2021,Business and administration
MH501,LLB Law - four year Single Major Law programme,MH,Maynooth University,507,2021,Law
MH502,Law (options),MH,Maynooth University,465,2021,Law
MH601,Computer Science through Arts (options),MH,Maynooth University,381,2021,Information and Communication Technologies (ICTs)
MH602,Computer Science through Science (options),MH,Maynooth University,400,2021,Information and Communication Technologies (ICTs)
MH603,Computational Thinking,MH,Maynooth University,520,2021,Information and Communication Technologies (ICTs)
AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",AS,St. Angela`s College,542,2021,Education
AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",AS,St. Angela`s College,464,2021,Education
AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",AS,St. Angela`s College,463,2021,Education
AS051,"Nutrition, Food and Business Management",AS,St. Angela`s College,378,2021,Business and administration
AS054,Home Economics,AS,St. Angela`s College,440,2021,Biological and related sciences
AS110,General Nursing,AS,St. Angela`s College,440,2021,Health
AS130,Intellectual Disability Nursing,AS,St. Angela`s College,387,2021,Health
SG141,Business,SG,"Institute of Technology, Sligo",262,2021,Business and administration
SG145,Business and ICT,SG,"Institute of Technology, Sligo",279,2021,Business and administration
SG146,Accounting,SG,"Institute of Technology, Sligo",304,2021,Business and administration
SG147,Sport with Business,SG,"Institute of Technology, Sligo",288,2021,Personal services
SG148,Tourism with Event Management,SG,"Institute of Technology, Sligo",298,2021,Personal services
SG150,Business in Marketing,SG,"Institute of Technology, Sligo",298,2021,Business and administration
SG241,Performing Arts,SG,"Institute of Technology, Sligo",341,2021,Arts
SG242,Early Childhood Care and Education,SG,"Institute of Technology, Sligo",287,2021,Welfare
SG243,Social Care Practice,SG,"Institute of Technology, Sligo",309,2021,Welfare
SG244,Fine Art,SG,"Institute of Technology, Sligo",501,2021,Arts
SG245,Creative Design,SG,"Institute of Technology, Sligo",332,2021,Arts
SG246,Computing,SG,"Institute of Technology, Sligo",316,2021,Information and Communication Technologies (ICTs)
SG247,English and Psychology,SG,"Institute of Technology, Sligo",319,2021,Social and behavioural sciences
SG248,Sociology and Politics,SG,"Institute of Technology, Sligo",298,2021,Social and behavioural sciences
SG249,Writing and Literature,SG,"Institute of Technology, Sligo",308,2021,Languages
SG252,Software Development,SG,"Institute of Technology, Sligo",310,2021,Information and Communication Technologies (ICTs)
SG253,Computing in Computer Networks and Cyber Security,SG,"Institute of Technology, Sligo",336,2021,Information and Communication Technologies (ICTs)
SG254,Writing and Literature Online,SG,"Institute of Technology, Sligo",327,2021,Languages
SG255,Law and Business,SG,"Institute of Technology, Sligo",291,2021,Law
SG341,General Engineering,SG,"Institute of Technology, Sligo",373,2021,Engineering and engineering trades
SG342,Civil Engineering,SG,"Institute of Technology, Sligo",418,2021,Architecture and construction
SG343,Quantity Surveying,SG,"Institute of Technology, Sligo",300,2021,Architecture and construction
SG344,Mechanical Engineering,SG,"Institute of Technology, Sligo",412,2021,Engineering and engineering trades
SG346,Construction Project Management and Applied Technology,SG,"Institute of Technology, Sligo",313,2021,Architecture and construction
SG347,Architecture,SG,"Institute of Technology, Sligo",403,2021,Architecture and construction
SG348,Interior Architecture and Design,SG,"Institute of Technology, Sligo",359,2021,Architecture and construction
SG350,Robotics and Automation,SG,"Institute of Technology, Sligo",384,2021,Engineering and engineering trades
SG442,Occupational Safety and Health,SG,"Institute of Technology, Sligo",307,2021,Hygiene and occupational health services
SG443,Human Nutrition,SG,"Institute of Technology, Sligo",376,2021,Health
SG444,Science Undenominated,SG,"Institute of Technology, Sligo",358,2021,Biological and related sciences
SG445,Pharmaceutical Science with Drug Development,SG,"Institute of Technology, Sligo",357,2021,Physical sciences
SG447,Health Science and Physical Activity,SG,"Institute of Technology, Sligo",326,2021,Health
SG448,Forensic Investigation and Analysis,SG,"Institute of Technology, Sligo",308,2021,Biological and related sciences
SG449,Medical Biotechnology,SG,"Institute of Technology, Sligo",315,2021,Health
SG450,Environmental Science with Ecology (Level 8),SG,"Institute of Technology, Sligo",310,2021,Environment
TL801,"Animation, Visual Effects and Motion Design (Level 8, portfolio)",TL,"Institute of Technology, Tralee",718,2021,Arts
TL802,"TV, Radio and New Media (Level 8)",TL,"Institute of Technology, Tralee",322,2021,Arts
TL810,Computing with Software Development,TL,"Institute of Technology, Tralee",308,2021,Information and Communication Technologies (ICTs)
TL811,Computing with Games Development,TL,"Institute of Technology, Tralee",322,2021,Information and Communication Technologies (ICTs)
TL815,Computing (Degree Award options),TL,"Institute of Technology, Tralee",307,2021,Information and Communication Technologies (ICTs)
TL823,Event Management (3 year programme),TL,"Institute of Technology, Tralee",293,2021,Personal services
TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),TL,"Institute of Technology, Tralee",306,2021,Business and administration
TL844,Agricultural Engineering,TL,"Institute of Technology, Tralee",301,2021,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary"
TL845,Civil Engineering,TL,"Institute of Technology, Tralee",361,2021,Architecture and construction
TL847,Manufacturing Engineering,TL,"Institute of Technology, Tralee",305,2021,Manufacturing and processing
TL848,Agricultural Science,TL,"Institute of Technology, Tralee",307,2021,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary"
TL851,Wildlife Biology (Degree Award options),TL,"Institute of Technology, Tralee",309,2021,Environment
TL855,Pharmaceutical Science (Degree Award options),TL,"Institute of Technology, Tralee",316,2021,Health
TL858,Veterinary Bioscience,TL,"Institute of Technology, Tralee",317,2021,Veterinary
TL871,Health and Leisure (Degree Award options),TL,"Institute of Technology, Tralee",303,2021,Personal services
TL872,Health and Leisure with Massage,TL,"Institute of Technology, Tralee",314,2021,Personal services
TL873,Coaching and Sports Performance,TL,"Institute of Technology, Tralee",308,2021,Personal services
TL874,Inclusive Sport and Physical Activity,TL,"Institute of Technology, Tralee",341,2021,Personal services
TL880,Early Childhood Care and Education,TL,"Institute of Technology, Tralee",309,2021,Welfare
TL881,Social Care,TL,"Institute of Technology, Tralee",301,2021,Welfare
TL890,General Nursing and Mature Applicants,TL,"Institute of Technology, Tralee",463,2021,Health
TL891,Mental Health Nursing and Mature Applicants,TL,"Institute of Technology, Tralee",440,2021,Health
WD001,Applied Computing (options),WD,Waterford Institute of Technology,270,2021,Information and Communication Technologies (ICTs)
WD002,Science (options),WD,Waterford Institute of Technology,279,2021,Biological and related sciences
WD005,Health Sciences (options),WD,Waterford Institute of Technology,271,2021,Health
WD006,Exercise Sciences (options),WD,Waterford Institute of Technology,270,2021,Personal services
WD007,Engineering (options),WD,Waterford Institute of Technology,270,2021,Engineering and engineering trades
WD025,Construction Management and Engineering,WD,Waterford Institute of Technology,262,2021,Architecture and construction
WD027,Music,WD,Waterford Institute of Technology,321,2021,Arts
WD048,Business (options),WD,Waterford Institute of Technology,279,2021,Business and administration
WD084,Accounting,WD,Waterford Institute of Technology,308,2021,Business and administration
WD091,Hospitality Management,WD,Waterford Institute of Technology,225,2021,Personal services
WD116,General Nursing,WD,Waterford Institute of Technology,446,2021,Health
WD117,Psychiatric Nursing,WD,Waterford Institute of Technology,415,2021,Health
WD120,Intellectual Disability Nursing,WD,Waterford Institute of Technology,390,2021,Health
WD134,International Business,WD,Waterford Institute of Technology,267,2021,Business and administration
WD137,Design (Visual Communications),WD,Waterford Institute of Technology,252,2021,Arts
WD140,Laws,WD,Waterford Institute of Technology,280,2021,Law
WD144,Architecture,WD,Waterford Institute of Technology,309,2021,Architecture and construction
WD147,Pharmaceutical Science,WD,Waterford Institute of Technology,288,2021,Physical sciences
WD150,Criminal Justice Studies,WD,Waterford Institute of Technology,280,2021,Law
WD152,Visual Art,WD,Waterford Institute of Technology,243,2021,Arts
WD161,Computer Forensics and Security,WD,Waterford Institute of Technology,270,2021,Information and Communication Technologies (ICTs)
WD162,Quantity Surveying,WD,Waterford Institute of Technology,226,2021,Architecture and construction
WD163,Psychology,WD,Waterford Institute of Technology,456,2021,Social and behavioural sciences
WD186,Sports Coaching and Performance,WD,Waterford Institute of Technology,261,2021,Personal services
WD187,Social Science,WD,Waterford Institute of Technology,276,2021,Welfare
WD191,Agricultural Science,WD,Waterford Institute of Technology,377,2021,Agriculture
WD192,Social Care Practice,WD,Waterford Institute of Technology,271,2021,Welfare
WD193,Marketing and Digital Media,WD,Waterford Institute of Technology,279,2021,Business and administration
WD194,Culinary Arts,WD,Waterford Institute of Technology,237,2021,Personal services
WD195,Architectural and Building Information Modelling Technology,WD,Waterford Institute of Technology,279,2021,Architecture and construction
WD200,Arts (options),WD,Waterford Institute of Technology,201,2021,Arts
WD210,Software Systems Development,WD,Waterford Institute of Technology,260,2021,Information and Communication Technologies (ICTs)
WD211,Creative Computing,WD,Waterford Institute of Technology,270,2021,Information and Communication Technologies (ICTs)
WD212,Recreation and Sport Management,WD,Waterford Institute of Technology,262,2021,Personal services
WD230,Mechanical and Manufacturing Engineering,WD,Waterford Institute of Technology,230,2021,Engineering and engineering trades
WD231,Early Childhood Care and Education,WD,Waterford Institute of Technology,266,2021,Welfare
WD232,Business Information Systems,WD,Waterford Institute of Technology,261,2021,Business and administration
AC120,International Business,AC,American College,209,2020,Business and administration
AC137,Liberal Arts,AC,American College,252,2020,Humanities (except languages)
AD215,Visual Culture,AD,National College of Art and Design,377,2020,Arts
AL801,Software Design with Virtual Reality and Gaming,AL,Athlone Institute of Technology,303,2020,Information and Communication Technologies (ICTs)
AL802,Software Design with Artificial Intelligence for Cloud Computing,AL,Athlone Institute of Technology,332,2020,Information and Communication Technologies (ICTs)
AL803,Software Design with Mobile Apps and Connected Devices,AL,Athlone Institute of Technology,337,2020,Information and Communication Technologies (ICTs)
AL805,Computer Engineering with Network Infrastructure,AL,Athlone Institute of Technology,333,2020,Information and Communication Technologies (ICTs)
AL810,Quantity Surveying,AL,Athlone Institute of Technology,319,2020,Architecture and construction
AL811,Civil Engineering,AL,Athlone Institute of Technology,320,2020,Architecture and construction
AL820,Mechanical and Polymer Engineering,AL,Athlone Institute of Technology,308,2020,Manufacturing and processing
AL830,General Nursing,AL,Athlone Institute of Technology,442,2020,Health
AL832,Psychiatric Nursing,AL,Athlone Institute of Technology,387,2020,Health
AL836,Nutrition and Health Science,AL,Athlone Institute of Technology,334,2020,Health
AL837,Sports Science with Exercise Physiology,AL,Athlone Institute of Technology,351,2020,Personal services
AL838,Biotechnology,AL,Athlone Institute of Technology,307,2020,Biological and related sciences
AL839,Microbiology,AL,Athlone Institute of Technology,325,2020,Biological and related sciences
AL840,Pharmaceutical Sciences,AL,Athlone Institute of Technology,347,2020,Physical sciences
AL841,Athletic and Rehabilitation Therapy,AL,Athlone Institute of Technology,430,2020,Health
AL842,Bioveterinary Science,AL,Athlone Institute of Technology,313,2020,Biological and related sciences
AL843,Physical Activity and Health Science,AL,Athlone Institute of Technology,306,2020,Health
AL850,Business,AL,Athlone Institute of Technology,309,2020,Business and administration
AL851,Business and Law,AL,Athlone Institute of Technology,295,2020,Law
AL852,Accounting,AL,Athlone Institute of Technology,309,2020,Business and administration
AL854,Sport Management (with international placement),AL,Athlone Institute of Technology,302,2020,Personal services
AL855,Hospitality Management (with international placement),AL,Athlone Institute of Technology,308,2020,Personal services
AL857,Digital Marketing,AL,Athlone Institute of Technology,304,2020,Business and administration
AL860,Social Care Practice,AL,Athlone Institute of Technology,300,2020,Welfare
AL861,Animation and Illustration (portfolio),AL,Athlone Institute of Technology,578,2020,Arts
AL863,Graphic and Digital Design (portfolio),AL,Athlone Institute of Technology,781,2020,Arts
AL864,Early Years Care and Education,AL,Athlone Institute of Technology,307,2020,Welfare
AL870,Applied Psychology,AL,Athlone Institute of Technology,418,2020,Social and behavioural sciences
AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",AS,St. Angela`s College,510,2020,Education
AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",AS,St. Angela`s College,441,2020,Education
