Course Code,Institution,INSTITUTION,EOS,Mid
TR012,Trinity College Dublin,History and Political Science,532*,557
TR015,Trinity College Dublin,"Philosophy, Political Science, Economics and Sociology",566,577
TR016,Trinity College Dublin,Deaf Studies,337,372
TR017,Trinity College Dublin,Law and Business,576,589
TR018,Trinity College Dublin,Law and French,532*,554
TR019,Trinity College Dublin,Law and German,523,555
TR020,Trinity College Dublin,Law and Political Science,567,600
TR021,Trinity College Dublin,"Classics, Ancient History and Archaeology",377,495
TR022,Trinity College Dublin,Early and Modern Irish,347,407
TR023,Trinity College Dublin,English Studies,463,511
TR024,Trinity College Dublin,European Studies,520,544
TR025,Trinity College Dublin,Drama and Theatre Studies,#489,531
TR028,Trinity College Dublin,Ancient and Medieval History and Culture,339,451
TR029,Trinity College Dublin,Political Science and Geography,477,500
TR031,Trinity College Dublin,Mathematics,566,589
TR032,Trinity College Dublin,Engineering,487*,520
TR033,Trinity College Dublin,Computer Science,465*,488
TR034,Trinity College Dublin,Management Science and Information Systems Studies,589*,602
TR035,Trinity College Dublin,Theoretical Physics,554,601
TR038,Trinity College Dublin,Engineering with Management,499,543
TR039,Trinity College Dublin,Computer Science and Language,435,498
TR040,Trinity College Dublin,Middle Eastern and European Languages and Cultures,485,518
TR041,Trinity College Dublin,Religion,347,393
TR051,Trinity College Dublin,Medicine (HPAT required),#730,739
TR052,Trinity College Dublin,Dental Science,590*,602
TR053,Trinity College Dublin,Physiotherapy,533*,544
TR054,Trinity College Dublin,Occupational Therapy,500,520
TR055,Trinity College Dublin,Radiation Therapy,510,521
TR056,Trinity College Dublin,Human Health and Disease,543,565
TR060,Trinity College Dublin,Biological and Biomedical Sciences,510*,542
TR061,Trinity College Dublin,Chemical Sciences,488*,520
TR062,Trinity College Dublin,Geography and Geoscience,435,485
TR063,Trinity College Dublin,Physical Sciences,498*,543
TR072,Trinity College Dublin,Pharmacy,555*,577
TR080,Trinity College Dublin,Global Business,565,577
TR081,Trinity College Dublin,"Business, Economic and Social Studies (BESS)",518*,542
TR082,Trinity College Dublin,Computer Science and Business,510,542
TR083,Trinity College Dublin,Sociology and Social Policy,451,474
TR084,Trinity College Dublin,Social Studies (Social Work),420*,462
TR085,Trinity College Dublin,Business Studies and French,509,553
TR086,Trinity College Dublin,Business Studies and German,474,495
TR087,Trinity College Dublin,Business Studies and Russian,467,487
TR089,Trinity College Dublin,Business Studies and Polish,393,434
TR090,Trinity College Dublin,Business Studies and Spanish,510,543
TR091,Trinity College Dublin,General Nursing (Meath and St James`s),393*,420
TR093,Trinity College Dublin,General Nursing (Adelaide School of Nursing),#378*,409
TR095,Trinity College Dublin,Mental Health Nursing,358,377
TR097,Trinity College Dublin,Intellectual Disability Nursing,346,350
TR911,Trinity College Dublin,Children`s and General Nursing (Integrated),476*,487
TR913,Trinity College Dublin,Midwifery,423,462
DN100,University College Dublin (NUI),Architecture,473,509
DN120,University College Dublin (NUI),Landscape Architecture,353,403
DN130,University College Dublin (NUI),City Planning and Environmental Policy,367,421
DN150,University College Dublin (NUI),Engineering (Common Entry),511,554
DN200,University College Dublin (NUI),Science (options),521,554
DN201,University College Dublin (NUI),Computer Science (Common Entry),488,509
DN230,University College Dublin (NUI),Actuarial and Financial Studies,577,589
DN250,University College Dublin (NUI),Agricultural Science (options),420,462
DN252,University College Dublin (NUI),Dairy Business,398,428
DN253,University College Dublin (NUI),Agri - Environmental Sciences,403,419
DN261,University College Dublin (NUI),Food Science,434,467
DN262,University College Dublin (NUI),Human Nutrition,493,510
DN271,University College Dublin (NUI),Forestry,303,361
DN272,University College Dublin (NUI),"Horticulture, Landscape and Sportsturf Management",252,312
DN300,University College Dublin (NUI),Veterinary Medicine - Undergraduate Entry,#567,589
DN301,University College Dublin (NUI),Veterinary Medicine - Graduate Entry,#,
DN310,University College Dublin (NUI),Veterinary Nursing,441,487
DN400,University College Dublin (NUI),Medicine - Undergraduate Entry (HPAT required),#735,745
DN401,University College Dublin (NUI),Medicine - Graduate Entry (GAMSAT required),#59*,61
DN410,University College Dublin (NUI),Radiography,507,522
DN411,University College Dublin (NUI),Radiography - Graduate Entry,#,
DN420,University College Dublin (NUI),Physiotherapy,542,555
DN425,University College Dublin (NUI),Health and Performance Science,488,509
DN430,University College Dublin (NUI),Sport and Exercise Management,436,455
DN440,University College Dublin (NUI),"Biomedical, Health and Life Sciences",565*,579
DN450,University College Dublin (NUI),General Nursing,398,420
DN451,University College Dublin (NUI),Children`s and General Nursing (Integrated),462*,499
DN452,University College Dublin (NUI),Midwifery,409,452
DN453,University College Dublin (NUI),Mental Health Nursing,379,403
DN520,University College Dublin (NUI),Arts (Two Subjects),336,408
DN530,University College Dublin (NUI),Humanities (options),348,411
DN541,University College Dublin (NUI),Modern Languages (options),348,412
DN600,University College Dublin (NUI),Law (options),520*,532
DN610,University College Dublin (NUI),Business and Law,521,543
DN650,University College Dublin (NUI),Commerce,498*,510
DN660,University College Dublin (NUI),Commerce International (options),507,531
DN670,University College Dublin (NUI),Economics and Finance,601,601
DN700,University College Dublin (NUI),Social Sciences (options),388,441
DN710,University College Dublin (NUI),Economics,476,488
DN720,University College Dublin (NUI),Psychology,517,531
DN750,University College Dublin (NUI),Social Policy and Sociology,330,366
DK810,Dundalk Institute of Technology,Accounting and Finance,306,391
DK816,Dundalk Institute of Technology,Business Studies,300,357
DK820,Dundalk Institute of Technology,Computing in Games Development,307,369
DK821,Dundalk Institute of Technology,Computing in Software Development,301,347
DK830,Dundalk Institute of Technology,Building Surveying,302,349
DK831,Dundalk Institute of Technology,Architectural Technology,301,366
DK832,Dundalk Institute of Technology,Construction Management,300,329
DK843,Dundalk Institute of Technology,Engineering (Common Entry),303,402
DK860,Dundalk Institute of Technology,Music,#499,649
DK861,Dundalk Institute of Technology,Arts,300,358
DK862,Dundalk Institute of Technology,Social Care,300,338
DK863,Dundalk Institute of Technology,Creative Media,300,376
DK864,Dundalk Institute of Technology,Film and Television Production,300,332
DK865,Dundalk Institute of Technology,Audio and Music Production,301,346
DK870,Dundalk Institute of Technology,General Nursing,392,401
DK872,Dundalk Institute of Technology,Intellectual Disability Nursing,300,317
DK874,Dundalk Institute of Technology,Mental Health Nursing,356,378
DK876,Dundalk Institute of Technology,Early Childhood Studies,305,359
DK877,Dundalk Institute of Technology,Midwifery,398*,441
DK880,Dundalk Institute of Technology,Health and Physical Activity,300,367
DK882,Dundalk Institute of Technology,Agriculture (Award options),303,358
DK883,Dundalk Institute of Technology,Science (Award options),300,369
GA181,Galway-Mayo Institute of Technology,Accounting,303,378
GA182,Galway-Mayo Institute of Technology,Business,290,347
GA183,Galway-Mayo Institute of Technology,Business Information Systems,309,373
GA184,Galway-Mayo Institute of Technology,Marketing and Sales,307,348
GA185,Galway-Mayo Institute of Technology,Finance and Economics,307,398
GA186,Galway-Mayo Institute of Technology,Business with Entrepreneurship,297,328
GA187,Galway-Mayo Institute of Technology,Rural Enterprise and Agri-Business (Mountbellew Campus),280,367
GA281,Galway-Mayo Institute of Technology,Film and Documentary,287,360
GA282,Galway-Mayo Institute of Technology,Heritage Studies,238,308
GA283,Galway-Mayo Institute of Technology,Contemporary Art,260,340
GA284,Galway-Mayo Institute of Technology,Design,309,377
GA380,Galway-Mayo Institute of Technology,International Hotel Management,225,289
GA381,Galway-Mayo Institute of Technology,International Tourism Management,261,290
GA382,Galway-Mayo Institute of Technology,Culinary and Gastronomic Science,225,316
GA384,Galway-Mayo Institute of Technology,Event Management with Public Relations,209,289
GA385,Galway-Mayo Institute of Technology,Retail Management,219,319
GA480,Galway-Mayo Institute of Technology,Construction Management,260,312
GA482,Galway-Mayo Institute of Technology,Quantity Surveying and Construction Economics,280,340
GA483,Galway-Mayo Institute of Technology,Architectural Technology,251,321
GA484,Galway-Mayo Institute of Technology,Civil Engineering,270,362
GA580,Galway-Mayo Institute of Technology,Software and Electronic Engineering,301,351
GA680,Galway-Mayo Institute of Technology,Mechanical Engineering,336,389
GA681,Galway-Mayo Institute of Technology,Energy Engineering,281,328
GA682,Galway-Mayo Institute of Technology,Biomedical Engineering,331,383
GA683,Galway-Mayo Institute of Technology,Agricultural Engineering,301,365
GA684,Galway-Mayo Institute of Technology,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),346,406
GA780,Galway-Mayo Institute of Technology,Applied Freshwater and Marine Biology,300,360
GA781,Galway-Mayo Institute of Technology,Applied Biology and Biopharmaceutical Science,317,376
GA782,Galway-Mayo Institute of Technology,Chemical and Pharmaceutical Science,307,346
GA783,Galway-Mayo Institute of Technology,Physics and Instrumentation,373,378
GA784,Galway-Mayo Institute of Technology,Science (Undenominated),327,377
GA785,Galway-Mayo Institute of Technology,Medical Science,451,486
GA786,Galway-Mayo Institute of Technology,Forensic Science and Analysis,300,366
GA787,Galway-Mayo Institute of Technology,Computing in Software Development,275,327
GA788,Galway-Mayo Institute of Technology,Computing and Digital Media,270,327
GA789,Galway-Mayo Institute of Technology,Agriculture and Environmental Management (Mountbellew Campus),297,339
GA790,Galway-Mayo Institute of Technology,Sport and Exercise Science,350,379
GA791,Galway-Mayo Institute of Technology,Public Health Nutrition,364,397
GA880,Galway-Mayo Institute of Technology,General Nursing - Mayo Campus,389*,400
GA882,Galway-Mayo Institute of Technology,Psychiatric Nursing - Mayo Campus,346,370
GA885,Galway-Mayo Institute of Technology,Outdoor Education - Mayo Campus,210,298
GA887,Galway-Mayo Institute of Technology,History and Geography - Mayo Campus,228,296
GA889,Galway-Mayo Institute of Technology,Applied Social Care - Mayo Campus,260,297
GA890,Galway-Mayo Institute of Technology,Early Childhood Care and Education - Mayo Campus,278,319
GA980,Galway-Mayo Institute of Technology,Education (Design Graphics and Construction) - Letterfrack Campus,376,389
GA981,Galway-Mayo Institute of Technology,Furniture Design and Manufacture - Letterfrack Campus,271,350
GA982,Galway-Mayo Institute of Technology,Furniture and Wood Technology - Letterfrack Campus,270,352
GY101,"National University of Ireland, Galway",Arts (Joint-Honours),300,374
GY104,"National University of Ireland, Galway",Arts (Psychology),507,529
GY105,"National University of Ireland, Galway",Arts (History),318,358
GY107,"National University of Ireland, Galway",Na Dána (Gaeilge agus Léann an Aistriúcháin),330,397
GY109,"National University of Ireland, Galway",Arts (Mathematics and Education),411,487
GY110,"National University of Ireland, Galway",Arts with Children's Studies,382,409
GY111,"National University of Ireland, Galway",Arts with Creative Writing,402,472
GY112,"National University of Ireland, Galway",Arts with Film Studies,338,370
GY113,"National University of Ireland, Galway",Arts with Human Rights,338,409
GY115,"National University of Ireland, Galway",Arts with Performing Arts Studies,328,367
GY118,"National University of Ireland, Galway","Arts (Drama, Theatre and Performance Studies)",410,451
GY119,"National University of Ireland, Galway",Journalism,410,475
GY120,"National University of Ireland, Galway","Arts (Child, Youth and Family: Policy and Practice)",309,346
GY121,"National University of Ireland, Galway",Arts (Children's Studies),356,389
GY122,"National University of Ireland, Galway",Na Dána (Cumarsáid agus Gaeilge) ,308,399
GY123,"National University of Ireland, Galway",BSc (Applied Social Sciences),357,388
GY124,"National University of Ireland, Galway",Arts (Arts with Data Science),434,466
GY125,"National University of Ireland, Galway",Arts (Digital Arts and Technology),324,379
GY126,"National University of Ireland, Galway",Arts (English and Media Studies),418,451
GY127,"National University of Ireland, Galway",Arts (Film and Digital Media),387,435
GY128,"National University of Ireland, Galway",Arts (Global Languages),370,440
GY129,"National University of Ireland, Galway",Arts (International),408,477
GY130,"National University of Ireland, Galway",Arts (Music),400,444
GY131,"National University of Ireland, Galway",Arts (History and Globalisation Studies),340,431
GY132,"National University of Ireland, Galway","Government (Politics, Economics and Law)",402,444
GY133,"National University of Ireland, Galway",Education (Computer Science and Mathematical  Studies),401,466
GY201,"National University of Ireland, Galway",Commerce,420,453
GY202,"National University of Ireland, Galway",Commerce (International) with French,484,513
GY203,"National University of Ireland, Galway",Commerce (International) with German,489,541
GY204,"National University of Ireland, Galway",Commerce (International) with Spanish,484,500
GY206,"National University of Ireland, Galway",Business Information Systems (Work Placement & Optional Int`l Study),431,445
GY207,"National University of Ireland, Galway",Commerce (Accounting) including optional Global Experience year,486,510
GY208,"National University of Ireland, Galway",Commerce (Gaeilge),473,488
GY209,"National University of Ireland, Galway",Commerce (Global Experience),509,531
GY250,"National University of Ireland, Galway",Law & Business,436,467
GY251,"National University of Ireland, Galway",Law,473,498
GY252,"National University of Ireland, Galway",Law & Human Rights,510,521
GY261,"National University of Ireland, Galway","Business Studies (International Hotel Management, Shannon)",#486,615
GY262,"National University of Ireland, Galway","Commerce (International Hotel Management, Shannon)",#671,726
GY301,"National University of Ireland, Galway",Science,400,456
GY303,"National University of Ireland, Galway",Biomedical Science,533,566
GY304,"National University of Ireland, Galway",Biotechnology,473,507
GY308,"National University of Ireland, Galway",Environmental Science,413,440
GY309,"National University of Ireland, Galway",Financial Mathematics and Economics,454,498
GY310,"National University of Ireland, Galway",Marine Science,409,456
GY313,"National University of Ireland, Galway",Environmental Health and Safety,402,435
GY314,"National University of Ireland, Galway",Earth and Ocean Sciences,402,425
GY318,"National University of Ireland, Galway",Biopharmaceutical Chemistry,510,532
GY319,"National University of Ireland, Galway",Mathematical Science,456,531
GY320,"National University of Ireland, Galway","Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",401,487
GY350,"National University of Ireland, Galway",Computer Science and Information Technology,425,466
GY401,"National University of Ireland, Galway",Engineering (Undenominated),444,499
GY402,"National University of Ireland, Galway",Civil Engineering,509,543
GY405,"National University of Ireland, Galway",Mechanical Engineering,443,499
GY406,"National University of Ireland, Galway",Electronic and Computer Engineering,509,547
GY408,"National University of Ireland, Galway",Biomedical Engineering,519,543
GY410,"National University of Ireland, Galway",Project and Construction Management,434,464
GY413,"National University of Ireland, Galway",Energy Systems Engineering,532,589
GY414,"National University of Ireland, Galway",Electrical and Electronic Engineering,454,487
GY501,"National University of Ireland, Galway","Medicine (five year/six year course, HPAT required)",#726*,731
GY502,"National University of Ireland, Galway",Occupational Therapy,532,543
GY503,"National University of Ireland, Galway",Speech and Language Therapy,529,543
GY504,"National University of Ireland, Galway",Podiatric Medicine,434,463
GY515,"National University of Ireland, Galway",General Nursing (Galway and Portiuncula),442,466
GY516,"National University of Ireland, Galway",Mental Health Nursing,388,413
GY517,"National University of Ireland, Galway",Midwifery,429,468
LY108,Letterkenny Institute of Technology,Business - Accounting,318,399
LY118,Letterkenny Institute of Technology,Business,287,352
LY208,Letterkenny Institute of Technology,Law,300,359
LY218,Letterkenny Institute of Technology,Business - with Spanish/Irish options,298,367
LY228,Letterkenny Institute of Technology,Sports and Exercise (Common Entry),278,330
LY408,Letterkenny Institute of Technology,Design (Common Entry),#307,368
LY508,Letterkenny Institute of Technology,Fire Safety Engineering,270,299
LY518,Letterkenny Institute of Technology,Quantity Surveying,307,368
LY528,Letterkenny Institute of Technology,Construction Management,267,291
LY608,Letterkenny Institute of Technology,Mechanical Engineering,304,333
LY618,Letterkenny Institute of Technology,Electronics and Embedded Systems,307,339
LY708,Letterkenny Institute of Technology,Applied Computing,300,348
LY818,Letterkenny Institute of Technology,Science (Common Entry),302,371
LY828,Letterkenny Institute of Technology,Agriculture (Common Entry),300,342
LY908,Letterkenny Institute of Technology,General Nursing,383,390
LY918,Letterkenny Institute of Technology,Psychiatric Nursing,291*,332
LY928,Letterkenny Institute of Technology,Intellectual Disability Nursing,288,299
LY968,Letterkenny Institute of Technology,"Early Childhood Care, Health and Education",300,336
LY978,Letterkenny Institute of Technology,Health & Social Care (Common Entry),260,299
MI001,Mary Immaculate College,Contemporary & Applied Theatre Studies,345,381
MI002,Mary Immaculate College,Arts (offered in conjunction with the University of Limerick),300,378
MI005,Mary Immaculate College,Education - Primary Teaching,473*,506
MI006,Mary Immaculate College,Education - Primary Teaching (Gaeltacht Applicants),#442,473
MI007,Mary Immaculate College,Early Childhood Care and Education,366,402
MI008,Mary Immaculate College,Education and Psychology - Primary Teaching,543,555
MI009,Mary Immaculate College,"Education, Business Studies and Accounting (Thurles Campus)",392,420
MI010,Mary Immaculate College,"Education, Business Studies and Religious Studies (Thurles Campus)",326,355
MI011,Mary Immaculate College,"Education, Irish and Religious Studies (Thurles Campus)",377,387
MI012,Mary Immaculate College,"Education, Irish and Business Studies (Thurles Campus)",398,440
MI013,Mary Immaculate College,"Education, Mathematics and Gaeilge (Thurles Campus)",433,465
CI101,Irish College of Humanities & Applied Sciences,Counselling and Psychotherapy (Limerick),276,328
LC110,Limerick Institute of Technology,"Art and Design (Common Entry, portfolio)",#734,918
LC114,Limerick Institute of Technology,Fashion and Textiles for Product and Costume (portfolio),#900,988
LC220,Limerick Institute of Technology,Digital Marketing,254,288
LC223,Limerick Institute of Technology,Law and Taxation,308,372
LC224,Limerick Institute of Technology,Accounting and Finance,299,382
LC225,Limerick Institute of Technology,Marketing and Management,298,337
LC226,Limerick Institute of Technology,Enterprise and Innovation,216,298
LC233,Limerick Institute of Technology,Software Development,300,371
LC234,Limerick Institute of Technology,Interactive Digital Media,219,288
LC236,Limerick Institute of Technology,Internet Systems Development,298,319
LC239,Limerick Institute of Technology,Computer Networks and Systems Management,335,347
LC241,Limerick Institute of Technology,Construction Management,276,303
LC242,Limerick Institute of Technology,Property Valuation and Management,292,328
LC243,Limerick Institute of Technology,Quantity Surveying,281,360
LC248,Limerick Institute of Technology,Built Environment (Common Entry),307,350
LC252,Limerick Institute of Technology,Civil Engineering Management,281,331
LC263,Limerick Institute of Technology,Clinical Technology,282,359
LC265,Limerick Institute of Technology,Forensic and Pharmaceutical Sciences,335,368
LC266,Limerick Institute of Technology,Drug and Medicinal Product Analysis,236,299
LC275,Limerick Institute of Technology,Electrical Engineering,288,340
LC288,Limerick Institute of Technology,Mechanical Engineering,307,360
LC289,Limerick Institute of Technology,Precision Engineering,280,369
LC292,Limerick Institute of Technology,Social Care Work,360,389
LC293,Limerick Institute of Technology,Business Studies with Travel and Tourism Management,299,326
LC294,Limerick Institute of Technology,Business Studies with Event Management,271,300
LC295,Limerick Institute of Technology,Business Studies with Sports Management,263,298
LC297,Limerick Institute of Technology,Community Development,217,269
LC320,Limerick Institute of Technology,Business,337,378
LC330,Limerick Institute of Technology,Business with Computing,298,326
LC340,Limerick Institute of Technology,Interior Design,298,349
LC362,Limerick Institute of Technology,Biotechnology and Biopharmaceutical Sciences,379,402
LC371,Limerick Institute of Technology,Creative Broadcast and Film Production,298,339
LC372,Limerick Institute of Technology,Music Technology and Production,321,369
LC374,Limerick Institute of Technology,Renewable and Electrical Energy Engineering,317,368
LC375,Limerick Institute of Technology,Industrial Automation & Robotic Systems,321,368
LC376,Limerick Institute of Technology,Electronic Engineering,308,346
LC380,Limerick Institute of Technology,Automotive Engineering and Transport Management,282,329
LC392,Limerick Institute of Technology,Beauty and Spa Management,217,318
LC393,Limerick Institute of Technology,Early Childhood Education & Care,260,309
LC401,Limerick Institute of Technology,Early Childhood Education & Care (Thurles),298,387
LC402,Limerick Institute of Technology,Social Care Work (Thurles),209,290
LC408,Limerick Institute of Technology,Environmental and Geographical Sciences (Thurles),262,346
LC411,Limerick Institute of Technology,Marketing and Management (Thurles),226,300
LC418,Limerick Institute of Technology,Computing - Games Design and Development (Thurles),271,318
LC422,Limerick Institute of Technology,Sports Strength and Conditioning (Thurles),288,333
LC434,Limerick Institute of Technology,Environmental Management in Agriculture (Thurles),278,347
LC502,Limerick Institute of Technology,"Game Art and Design (Clonmel, portfolio)",#838,950
LC517,Limerick Institute of Technology,Creative Media and Design (Clonmel),229,273
LC518,Limerick Institute of Technology,"Digital Animation Production (Clonmel, portfolio)",#816,962
LC612,Limerick Institute of Technology,Social Care Work (Ennis),319,338
LC613,Limerick Institute of Technology,Early Childhood Education & Care (Ennis),346,388
LM002,University of Limerick,Arts (offered in conjunction with Mary Immaculate College),329,388
LM020,University of Limerick,Law and Accounting,436,476
LM026,University of Limerick,Performing Arts (audition required),#307,367
LM028,University of Limerick,Criminal Justice,387,409
LM029,University of Limerick,Law Plus,473,499
LM038,University of Limerick,Psychology and Sociology,478,489
LM039,University of Limerick,Journalism and New Media,388,430
LM040,University of Limerick,European Studies,350,462
LM044,University of Limerick,Applied Languages,404,473
LM050,University of Limerick,Business Studies,419,455
LM056,University of Limerick,International Business,511,543
LM058,University of Limerick,Financial Mathematics,434,543
LM063,University of Limerick,Technology Management,372,409
LM068,University of Limerick,Food Science and Health,400,430
LM076,University of Limerick,Product Design and Technology (portfolio required),#402,466
LM077,University of Limerick,Aeronautical Engineering,469,531
LM082,University of Limerick,Construction Management and Engineering,368,404
LM089,University of Limerick,Sport and Exercise Sciences,441,466
LM090,University of Limerick,Physical Education with concurrent Teacher Education,498*,520
LM092,University of Limerick,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),478,509
LM093,University of Limerick,Equine Science,338,381
LM094,University of Limerick,Materials and Architectural Technology with concurrent Teacher Education,405,433
LM095,University of Limerick,Materials and Engineering Technology with concurrent Teacher Education,358,409
LM096,University of Limerick,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),382,422
LM099,University of Limerick,Architecture (portfolio required),#419,473
LM100,University of Limerick,Physiotherapy,565*,577
LM101,University of Limerick,Medicine  - Graduate Entry (GAMSAT required),#55*,57
LM102,University of Limerick,Psychology,495,519
LM103,University of Limerick,Paramedic Studies (B and C1 Drivers Licence),#313,403
LM115,University of Limerick,Chemical and Biochemical Engineering,456,520
LM116,University of Limerick,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),434,498
LM118,University of Limerick,Electronic and Computer Engineering,401,498
LM121,University of Limerick,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),352,420
LM122,University of Limerick,Creative Media and Interaction Design (Digital Design/Music Media Tech),330,430
LM123,University of Limerick,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),412,455
LM124,University of Limerick,Mathematics (Math Science/Maths and Physics/Economics and Math Scienc,427,521
LM125,University of Limerick,Physics (Applied Physics/Mathematics and Physics),405,509
LM150,University of Limerick,General Nursing,440*,463
LM152,University of Limerick,Mental Health Nursing,388,418
LM154,University of Limerick,Intellectual Disability Nursing,381*,408
LM156,University of Limerick,Midwifery,429,444
MU001,"Pontifical University, St Patrick\'s College",Theology and Arts,290,318
MU002,"Pontifical University, St Patrick\'s College",Theology,292,377
MH001,Maynooth University,Education - Primary Teaching (Froebel),496*,520
MH002,Maynooth University,Education - Primary Teaching - Gaeltacht Applicants (Froebel),#441*,
MH101,Maynooth University,Arts,316,369
MH103,Maynooth University,Music,#,367
MH106,Maynooth University,Psychology - 3 years,495,499
MH107,Maynooth University,Social Science,326,349
MH109,Maynooth University,Media Studies,317,377
MH116,Maynooth University,Community and Youth Work (Full-Time),#,271
MH201,Maynooth University,Science,350,392
MH202,Maynooth University,Biotechnology,429,446
MH204,Maynooth University,Physics with Astrophysics,420,488
MH206,Maynooth University,Theoretical Physics and Mathematics,498,566
MH207,Maynooth University,Data Science,434,466
MH208,Maynooth University,Biological and Biomedical Sciences,451,476
MH209,Maynooth University,Psychology (through Science) - 4 years,473,485
MH210,Maynooth University,Pharmaceutical and Biomedical Chemistry,446,466
MH212,Maynooth University,Science/Computer Science/Mathematics (with Education) - options,444,476
MH304,Maynooth University,Engineering (Computer/Electronic/Communications),371,423
MH305,Maynooth University,Product Design,358,411
MH306,Maynooth University,Robotics and Intelligent Devices,361,424
MH401,Maynooth University,Finance (options),352,392
MH402,Maynooth University,Quantitative Finance,476,487
MH403,Maynooth University,Accounting and Finance,402,432
MH404,Maynooth University,Business (options),400,429
MH405,Maynooth University,Equine Business,357,398
MH407,Maynooth University,Business and Accounting,401,420
MH411,Maynooth University,Entrepreneurship,358,388
MH501,Maynooth University,LLB Law - four year Single Major Law programme,451,476
MH502,Maynooth University,Law (options),410,442
MH601,Maynooth University,Computer Science through Arts (options),342,369
MH602,Maynooth University,Computer Science through Science (options),357,413
MH603,Maynooth University,Computational Thinking,520,543
MH801,Maynooth University,Early Childhood - Teaching and Learning (part-time),347,358
MH802,Maynooth University,"Community and Youth Work (part-time, in service",#,
MH803,Maynooth University,"Local Studies or Community Studies (part-time, evening)- Mature Students",#,
AS001,St. Angela`s College,"Education, Home Economics and Biology - with concurrent Teacher Ed",456*,497
AS002,St. Angela`s College,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",400*,433
AS003,St. Angela`s College,"Education, Home Economics and Irish - with concurrent Teacher Ed",421,457
AS051,St. Angela`s College,"Nutrition, Food and Business Management",337,399
AS054,St. Angela`s College,Home Economics,387,401
AS110,St. Angela`s College,General Nursing,391*,409
AS130,St. Angela`s College,Intellectual Disability Nursing,317,338
SG141,"Institute of Technology, Sligo",Business,252,317
SG142,"Institute of Technology, Sligo",Business in International Marketing and Sales with French,270,388
SG144,"Institute of Technology, Sligo",Business in International Marketing and Sales with Spanish,280,388
SG146,"Institute of Technology, Sligo",Accounting,307,347
SG147,"Institute of Technology, Sligo",Sport with Business,269,316
SG148,"Institute of Technology, Sligo",Tourism with Event Management,246,282
SG149,"Institute of Technology, Sligo",Business in Finance and Investment,262,357
SG241,"Institute of Technology, Sligo",Performing Arts,279,348
SG242,"Institute of Technology, Sligo",Early Childhood Care and Education,278,318
SG243,"Institute of Technology, Sligo",Social Care Practice,297,338
SG244,"Institute of Technology, Sligo",Fine Art,#355,496
SG245,"Institute of Technology, Sligo",Creative Design,261,338
SG246,"Institute of Technology, Sligo",Computing,295,368
SG247,"Institute of Technology, Sligo",English and Psychology,308,336
SG248,"Institute of Technology, Sligo",Sociology and Politics,282,320
SG249,"Institute of Technology, Sligo",Writing and Literature,279,338
SG250,"Institute of Technology, Sligo",Application Design and User Experience,290,431
SG251,"Institute of Technology, Sligo",Computing (Smart Technologies),303,391
SG252,"Institute of Technology, Sligo",Software Development,300,354
SG253,"Institute of Technology, Sligo",Computer Networks and Cloud Infrastructure,273,341
SG343,"Institute of Technology, Sligo",Quantity Surveying,261,302
SG346,"Institute of Technology, Sligo",Construction Project Management and Applied Technology,289,351
SG347,"Institute of Technology, Sligo",Architecture,309,357
SG441,"Institute of Technology, Sligo",Environmental Science,297,358
SG442,"Institute of Technology, Sligo",Occupational Safety and Health,289,330
SG443,"Institute of Technology, Sligo",Human Nutrition,357,419
SG444,"Institute of Technology, Sligo",Science (Undenominated),308,369
SG445,"Institute of Technology, Sligo",Pharmaceutical Science with Drug Development,347,369
SG446,"Institute of Technology, Sligo",Applied Archaeology,289,290
SG447,"Institute of Technology, Sligo",Health Science and Physical Activity,316,363
SG448,"Institute of Technology, Sligo",Forensic Investigation and Analysis,306,348
SG449,"Institute of Technology, Sligo",Medical Biotechnology,329,352
TL801,"Institute of Technology, Tralee",Animation Visual Effects and Motion Design,281,341
TL802,"Institute of Technology, Tralee","TV, Radio and New Media",306,356
TL803,"Institute of Technology, Tralee",Music Technology,264,288
TL810,"Institute of Technology, Tralee",Computing with Software Development,309,341
TL811,"Institute of Technology, Tralee",Computing with Games Development,310,334
TL812,"Institute of Technology, Tralee",Computing with Digital Media,369,369
TL815,"Institute of Technology, Tralee",Computing (Degree Award options),308,378
TL823,"Institute of Technology, Tralee",Event Management (3 year programme),291,346
TL831,"Institute of Technology, Tralee",Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),307,372
TL842,"Institute of Technology, Tralee",Construction Management,,
TL844,"Institute of Technology, Tralee",Agricultural Engineering,311,368
TL845,"Institute of Technology, Tralee",Civil Engineering,300,364
TL847,"Institute of Technology, Tralee",Manufacturing Engineering,,
TL848,"Institute of Technology, Tralee",Agricultural Science,331,362
TL851,"Institute of Technology, Tralee",Wildlife Biology (Degree Award options),310,362
TL855,"Institute of Technology, Tralee",Pharmaceutical Science (Degree Award options),342,386
TL858,"Institute of Technology, Tralee",Veterinary Bioscience,326,369
